,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.6904762,3894.9917,6016.0,0.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
1,0.7470238,4026.0862,6016.0,1.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
2,0.7291667,4085.746,6016.0,2.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
3,0.7619048,4255.0547,6016.0,3.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
4,0.7083333,4312.011,6016.0,4.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
5,0.63988096,4361.6455,6016.0,5.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
6,0.72321427,4487.9116,6016.0,6.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
7,0.84821427,4608.682,6016.0,7.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
8,0.5327381,4660.6284,6016.0,8.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
9,0.75,4754.685,6016.0,9.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
10,0.5535714,4805.836,6016.0,10.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
11,0.69345236,4868.445,6016.0,11.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
12,0.96130955,3846.44,5982.0,0.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
13,0.9494048,4025.794,5982.0,1.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
14,0.95238096,4181.0103,5982.0,2.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
15,0.9464286,4322.373,5982.0,3.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
16,0.8422619,4403.129,5982.0,4.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
17,0.95535713,4526.8086,5982.0,5.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
18,0.8660714,4624.9023,5982.0,6.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
19,0.9285714,4771.084,5982.0,7.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
20,0.9345238,4870.335,5982.0,8.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
21,0.7797619,4928.7637,5982.0,9.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
22,0.9285714,5120.2124,5982.0,10.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
23,0.96428573,5253.568,5982.0,11.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
24,0.98214287,3476.1575,5974.0,0.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
