,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.5972222,3888.2007,6016.0,0.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
1,0.6638889,4059.8481,6016.0,1.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
2,0.6944444,4124.3506,6016.0,2.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
3,0.69722223,4192.307,6016.0,3.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
4,0.6611111,4261.942,6016.0,4.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
5,0.64444447,4324.792,6016.0,5.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
6,0.5388889,4398.6743,6016.0,6.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
7,0.8,4474.2964,6016.0,7.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
8,0.57222223,4568.684,6016.0,8.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
9,0.7638889,4678.0034,6016.0,9.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
10,0.5777778,4735.466,6016.0,10.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
11,0.6388889,4787.993,6016.0,11.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
