,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.9777778,3570.252,5974.0,0.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
1,0.98055553,3618.7522,5974.0,1.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
2,0.8666667,3658.8828,5974.0,2.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
3,0.95555556,3706.3047,5974.0,3.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
4,0.9861111,3865.3376,5974.0,4.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
5,0.975,3962.376,5974.0,5.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
6,0.9611111,4068.663,5974.0,6.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
7,0.9861111,4214.44,5974.0,7.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
8,0.95,4275.738,5974.0,8.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
9,0.98333335,4344.898,5974.0,9.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
10,0.94166666,4387.7285,5974.0,10.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
11,0.9638889,4438.634,5974.0,11.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
12,0.59444445,3595.3555,6062.0,0.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
13,0.59444445,3667.273,6062.0,1.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
14,0.65555555,3777.423,6062.0,2.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
15,0.62222224,3883.558,6062.0,3.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
16,0.55277777,3954.7625,6062.0,4.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
17,0.5861111,4004.3933,6062.0,5.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
18,0.5,4044.6562,6062.0,6.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
19,0.68333334,4137.2593,6062.0,7.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
20,0.5138889,4179.6646,6062.0,8.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
21,0.6888889,4260.4673,6062.0,9.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
22,0.575,4315.1006,6062.0,10.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
23,0.6388889,4389.9497,6062.0,11.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
24,0.53055555,3472.1318,5982.0,0.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
25,0.5777778,3504.4526,5982.0,1.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
26,0.51111114,3537.546,5982.0,2.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
27,0.5277778,3571.3174,5982.0,3.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
28,0.5388889,3619.0845,5982.0,4.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
29,0.5416667,3653.6165,5982.0,5.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
30,0.525,3697.8098,5982.0,6.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
31,0.58055556,3730.3667,5982.0,7.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
32,0.53333336,3775.199,5982.0,8.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
33,0.56666666,3813.3884,5982.0,9.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
34,0.5472222,3854.6133,5982.0,10.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
35,0.5416667,3893.148,5982.0,11.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
36,0.61388886,3663.8054,5982.0,0.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
37,0.5388889,3708.5325,5982.0,1.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
38,0.65833336,3752.4304,5982.0,2.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
39,0.5222222,3794.645,5982.0,3.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
40,0.53333336,3861.5605,5982.0,4.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
41,0.5833333,3960.1018,5982.0,5.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
42,0.5361111,4082.6597,5982.0,6.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
43,0.64444447,4112.34,5982.0,7.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
44,0.43333334,4154.38,5982.0,8.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
45,0.69722223,4222.8486,5982.0,9.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
46,0.4861111,4247.619,5982.0,10.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
47,0.6722222,4291.6567,5982.0,11.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
