,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.70555556,621.36383,6016.0,0.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
1,0.7972222,638.65686,6016.0,1.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
2,0.75555557,648.01337,6016.0,2.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
3,0.6944444,658.50543,6016.0,3.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
4,0.83055556,679.64996,6016.0,4.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
5,0.6861111,692.7052,6016.0,5.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
6,0.5361111,703.2163,6016.0,6.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
7,0.7972222,716.76056,6016.0,7.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
8,0.6888889,736.2086,6016.0,8.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
9,0.85,748.5425,6016.0,9.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
10,0.6472222,764.13074,6016.0,10.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
11,0.62777776,772.99915,6016.0,11.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
12,0.88611114,683.22266,5982.0,0.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
13,0.9138889,703.8073,5982.0,1.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
14,0.86388886,718.9502,5982.0,2.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
15,0.88611114,733.47107,5982.0,3.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
16,0.6944444,741.9414,5982.0,4.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
17,0.87222224,753.0485,5982.0,5.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
18,0.8055556,771.85095,5982.0,6.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
19,0.89444447,783.0465,5982.0,7.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
20,0.84444445,801.24506,5982.0,8.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
21,0.875,811.6248,5982.0,9.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
22,0.8972222,828.4911,5982.0,10.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
23,0.91944444,837.8604,5982.0,11.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
24,0.9722222,604.06946,5974.0,0.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
25,0.9527778,621.55237,5974.0,1.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
