,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.725,2399.7927,6016.0,0.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
1,0.825,2428.6184,6016.0,1.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
2,0.7861111,2452.361,6016.0,2.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
3,0.6333333,2466.1296,6016.0,3.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
4,0.775,2491.6575,6016.0,4.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
5,0.625,2506.8066,6016.0,5.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
6,0.5416667,2520.46,6016.0,6.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
7,0.8055556,2539.761,6016.0,7.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
8,0.64166665,2566.5132,6016.0,8.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
9,0.8388889,2593.6033,6016.0,9.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
10,0.55,2607.8625,6016.0,10.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
11,0.65833336,2634.5945,6016.0,11.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
12,0.9111111,2237.3716,5982.0,0.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
13,0.88611114,2266.0613,5982.0,1.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
14,0.89166665,2299.372,5982.0,2.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
15,0.84166664,2329.6604,5982.0,3.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
16,0.84166664,2357.462,5982.0,4.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
17,0.8972222,2383.1719,5982.0,5.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
18,0.75,2413.3506,5982.0,6.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
19,0.89166665,2441.9622,5982.0,7.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
20,0.7583333,2472.025,5982.0,8.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
21,0.87222224,2495.8567,5982.0,9.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
22,0.88611114,2524.905,5982.0,10.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
23,0.9388889,2554.7617,5982.0,11.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
24,0.975,2237.9133,5974.0,0.0,4,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
25,0.92777777,2268.866,5974.0,1.0,4,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
26,0.9583333,2300.195,5974.0,2.0,4,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
27,0.9222222,2332.671,5974.0,3.0,4,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
28,0.94166666,2361.3572,5974.0,4.0,4,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
29,0.9611111,2387.8079,5974.0,5.0,4,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
30,0.8111111,2421.2595,5974.0,6.0,4,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
31,0.98055553,2451.0386,5974.0,7.0,4,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
32,0.78055555,2482.6243,5974.0,8.0,4,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
33,0.98055553,2512.3955,5974.0,9.0,4,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
34,0.9361111,2544.2993,5974.0,10.0,4,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
35,0.9444444,2575.903,5974.0,11.0,4,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
36,0.69722223,2128.696,6062.0,0.0,5,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
37,0.6111111,2155.7349,6062.0,1.0,5,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
38,0.69722223,2180.9163,6062.0,2.0,5,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
39,0.625,2204.386,6062.0,3.0,5,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
40,0.68333334,2234.3281,6062.0,4.0,5,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
41,0.65833336,2260.887,6062.0,5.0,5,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
42,0.51944447,2291.8232,6062.0,6.0,5,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
43,0.67777777,2318.9993,6062.0,7.0,5,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
44,0.5416667,2346.469,6062.0,8.0,5,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
45,0.7138889,2362.5203,6062.0,9.0,5,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
46,0.5388889,2391.0696,6062.0,10.0,5,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
47,0.63611114,2419.0068,6062.0,11.0,5,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
48,0.67777777,2148.4841,5982.0,0.0,6,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
49,0.58055556,2161.9119,5982.0,1.0,6,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
50,0.5138889,2179.0093,5982.0,2.0,6,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
51,0.47777778,2208.3643,5982.0,3.0,6,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
52,0.625,2232.0508,5982.0,4.0,6,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
53,0.5138889,2260.3345,5982.0,5.0,6,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
54,0.51666665,2286.1418,5982.0,6.0,6,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
55,0.5694444,2306.5334,5982.0,7.0,6,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
56,0.48055556,2335.8384,5982.0,8.0,6,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
57,0.59166664,2364.0,5982.0,9.0,6,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
58,0.5833333,2378.5356,5982.0,10.0,6,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
59,0.6388889,2396.0522,5982.0,11.0,6,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
60,0.6388889,2012.0564,5982.0,0.0,7,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
61,0.5833333,2041.6344,5982.0,1.0,7,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
62,0.73055553,2071.541,5982.0,2.0,7,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
63,0.65555555,2100.9783,5982.0,3.0,7,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
64,0.625,2129.2747,5982.0,4.0,7,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
65,0.62222224,2159.2825,5982.0,5.0,7,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
66,0.50277776,2189.0715,5982.0,6.0,7,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
67,0.675,2218.2173,5982.0,7.0,7,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
68,0.45833334,2246.7295,5982.0,8.0,7,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
69,0.6888889,2274.7366,5982.0,9.0,7,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
70,0.55833334,2304.0334,5982.0,10.0,7,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
71,0.60555553,2334.1736,5982.0,11.0,7,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
72,0.5972222,2139.0522,6094.0,0.0,8,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
73,0.7027778,2167.24,6094.0,1.0,8,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
74,0.575,2182.4358,6094.0,2.0,8,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
75,0.69722223,2210.1238,6094.0,3.0,8,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
76,0.6,2224.932,6094.0,4.0,8,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
77,0.6805556,2251.3667,6094.0,5.0,8,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
78,0.58055556,2274.202,6094.0,6.0,8,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
79,0.73333335,2295.776,6094.0,7.0,8,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
80,0.5888889,2312.8887,6094.0,8.0,8,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
81,0.64444447,2326.5798,6094.0,9.0,8,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
82,0.6944444,2356.0496,6094.0,10.0,8,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
83,0.7722222,2370.7815,6094.0,11.0,8,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
84,0.54444444,2174.9556,5982.0,0.0,9,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
85,0.45833334,2189.64,5982.0,1.0,9,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
86,0.54444444,2217.1646,5982.0,2.0,9,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
87,0.525,2234.31,5982.0,3.0,9,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
88,0.5361111,2253.0073,5982.0,4.0,9,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
89,0.5222222,2267.8137,5982.0,5.0,9,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
90,0.575,2293.579,5982.0,6.0,9,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
91,0.6,2322.4353,5982.0,7.0,9,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
92,0.47777778,2349.7427,5982.0,8.0,9,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
93,0.5277778,2372.8276,5982.0,9.0,9,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
94,0.49444443,2398.902,5982.0,10.0,9,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
95,0.51944447,2418.9443,5982.0,11.0,9,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
96,0.9444444,2186.4585,5982.0,0.0,10,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
97,0.90833336,2214.9883,5982.0,1.0,10,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
98,0.9222222,2244.5645,5982.0,2.0,10,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
99,0.8361111,2263.6487,5982.0,3.0,10,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
100,0.87222224,2292.698,5982.0,4.0,10,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
101,0.87777776,2321.9392,5982.0,5.0,10,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
102,0.8666667,2352.8555,5982.0,6.0,10,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
103,0.69722223,2382.527,5982.0,7.0,10,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
104,0.6861111,2415.516,5982.0,8.0,10,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
105,0.925,2448.3303,5982.0,9.0,10,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
106,0.8361111,2480.0742,5982.0,10.0,10,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
107,0.94166666,2510.1807,5982.0,11.0,10,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
108,0.5277778,2173.5718,5982.0,0.0,11,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
109,0.5611111,2202.8044,5982.0,1.0,11,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
110,0.49166667,2217.9187,5982.0,2.0,11,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
