,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.73333335,2273.312,6016.0,0.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
1,0.7888889,2273.312,6016.0,1.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
2,0.6388889,2273.312,6016.0,2.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
3,0.59166664,2273.312,6016.0,3.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
4,0.68333334,2273.312,6016.0,4.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
5,0.6027778,2273.312,6016.0,5.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
6,0.5416667,2273.312,6016.0,6.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
7,0.7972222,2273.312,6016.0,7.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
8,0.51666665,2273.312,6016.0,8.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
9,0.8055556,2273.312,6016.0,9.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
10,0.55277777,2273.312,6016.0,10.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
11,0.6388889,2273.312,6016.0,11.0,2,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
12,0.7972222,2190.185,5982.0,0.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
13,0.83055556,2190.185,5982.0,1.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
14,0.62222224,2190.185,5982.0,2.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
15,0.6638889,2190.185,5982.0,3.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
16,0.6805556,2190.185,5982.0,4.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
17,0.725,2190.185,5982.0,5.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
18,0.5,2190.185,5982.0,6.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
19,0.71944445,2190.185,5982.0,7.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
20,0.51666665,2190.185,5982.0,8.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
21,0.78333336,2190.185,5982.0,9.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
22,0.775,2190.185,5982.0,10.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
23,0.91944444,2190.185,5982.0,11.0,3,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
24,0.93333334,2313.4016,5974.0,0.0,4,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
25,0.7361111,2313.4016,5974.0,1.0,4,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
26,0.7972222,2313.4016,5974.0,2.0,4,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
27,0.69722223,2313.4016,5974.0,3.0,4,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
28,0.90555555,2313.4016,5974.0,4.0,4,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
29,0.8361111,2313.4016,5974.0,5.0,4,both,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
