,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.8333333,482.74503,6016.0,0.0,0.448443,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
1,0.5416667,482.74503,6016.0,1.0,0.49671596,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
2,0.75,482.74503,6016.0,2.0,0.47517702,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
3,0.7916667,482.74503,6016.0,3.0,0.44548538,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
4,0.7083333,482.74503,6016.0,4.0,0.48830217,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
5,0.7916667,482.74503,6016.0,5.0,0.4806058,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
6,0.5,482.74503,6016.0,6.0,0.44208708,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
7,0.625,482.74503,6016.0,7.0,0.6007849,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
8,0.5,482.74503,6016.0,8.0,0.43406653,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
9,0.5416667,482.74503,6016.0,9.0,0.50549334,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
10,0.6666667,482.74503,6016.0,10.0,0.5072372,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
11,0.6666667,482.74503,6016.0,11.0,0.45053384,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
12,0.8333333,538.915,5982.0,0.0,0.57992685,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
13,0.625,538.915,5982.0,1.0,0.5697039,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
14,0.5833333,538.915,5982.0,2.0,0.5604468,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
15,0.5416667,538.915,5982.0,3.0,0.48679137,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
16,0.8333333,538.915,5982.0,4.0,0.5631411,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
17,0.7916667,538.915,5982.0,5.0,0.5486493,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
18,0.5,538.915,5982.0,6.0,0.5288056,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
19,0.75,538.915,5982.0,7.0,0.73608404,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
20,0.625,538.915,5982.0,8.0,0.5220705,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
21,0.8333333,538.915,5982.0,9.0,0.47978932,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
22,0.9166667,538.915,5982.0,10.0,0.6255235,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
23,0.8333333,538.915,5982.0,11.0,0.5216021,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
24,0.9583333,446.00534,5974.0,0.0,0.7718893,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
25,0.6666667,446.00534,5974.0,1.0,0.5047342,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
26,0.875,446.00534,5974.0,2.0,0.5475157,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
27,0.625,446.00534,5974.0,3.0,0.5243835,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
28,0.8333333,446.00534,5974.0,4.0,0.6606452,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
29,0.8333333,446.00534,5974.0,5.0,0.57264894,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
30,0.5,446.00534,5974.0,6.0,0.49175203,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
31,0.9166667,446.00534,5974.0,7.0,0.6061473,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
32,0.41666666,446.00534,5974.0,8.0,0.47517753,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
33,0.9583333,446.00534,5974.0,9.0,0.80051297,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
34,0.5416667,446.00534,5974.0,10.0,0.5337322,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
35,0.5416667,446.00534,5974.0,11.0,0.36305952,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
36,0.6666667,450.22467,6062.0,0.0,0.5513386,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
37,0.5833333,450.22467,6062.0,1.0,0.40242216,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
38,0.8333333,450.22467,6062.0,2.0,0.59353775,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
39,0.5416667,450.22467,6062.0,3.0,0.43338352,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
40,0.5416667,450.22467,6062.0,4.0,0.48795328,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
41,0.5416667,450.22467,6062.0,5.0,0.49768907,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
42,0.5,450.22467,6062.0,6.0,0.43532023,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
43,0.7083333,450.22467,6062.0,7.0,0.5111729,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
44,0.5833333,450.22467,6062.0,8.0,0.4314567,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
45,0.6666667,450.22467,6062.0,9.0,0.51417625,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
46,0.45833334,450.22467,6062.0,10.0,0.42078584,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
47,0.625,450.22467,6062.0,11.0,0.41014946,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
48,0.5416667,479.28644,5982.0,0.0,0.48925957,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
49,0.45833334,479.28644,5982.0,1.0,0.45941976,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
50,0.625,479.28644,5982.0,2.0,0.37658343,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
51,0.5833333,479.28644,5982.0,3.0,0.4491142,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
52,0.7083333,479.28644,5982.0,4.0,0.450614,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
53,0.5416667,479.28644,5982.0,5.0,0.48945487,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
54,0.33333334,479.28644,5982.0,6.0,0.4382249,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
55,0.7083333,479.28644,5982.0,7.0,0.4209518,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
56,0.5,479.28644,5982.0,8.0,0.5268856,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
57,0.625,479.28644,5982.0,9.0,0.53158474,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
58,0.5,479.28644,5982.0,10.0,0.39509577,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
59,0.5416667,479.28644,5982.0,11.0,0.444015,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
60,0.5833333,444.37274,5982.0,0.0,0.4529113,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
61,0.5,444.37274,5982.0,1.0,0.33932933,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
62,0.75,444.37274,5982.0,2.0,0.37459555,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
63,0.5416667,444.37274,5982.0,3.0,0.4084314,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
64,0.6666667,444.37274,5982.0,4.0,0.4044021,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
65,0.41666666,444.37274,5982.0,5.0,0.38286287,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
66,0.41666666,444.37274,5982.0,6.0,0.41541803,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
67,0.5416667,444.37274,5982.0,7.0,0.41464096,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
68,0.41666666,444.37274,5982.0,8.0,0.42975923,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
69,0.625,444.37274,5982.0,9.0,0.47184905,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
70,0.41666666,444.37274,5982.0,10.0,0.39224383,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
