,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.675,3049.3928,6016.0,0.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
1,0.75,3082.9363,6016.0,1.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
2,0.6027778,3110.9421,6016.0,2.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
3,0.7722222,3190.3481,6016.0,3.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
4,0.75555557,3231.6763,6016.0,4.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
5,0.60833335,3260.1892,6016.0,5.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
6,0.7888889,3318.3823,6016.0,6.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
7,0.7638889,3350.2368,6016.0,7.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
8,0.5388889,3402.9512,6016.0,8.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
9,0.82222223,3435.5664,6016.0,9.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
10,0.6,3456.026,6016.0,10.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
11,0.6666667,3489.3394,6016.0,11.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
12,0.92777777,2305.0283,5982.0,0.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
13,0.89444447,2361.4424,5982.0,1.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
14,0.89166665,2453.5195,5982.0,2.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
15,0.89166665,2524.2932,5982.0,3.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
16,0.74444443,2546.3386,5982.0,4.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
17,0.89444447,2676.6462,5982.0,5.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
18,0.76666665,2741.816,5982.0,6.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
19,0.9138889,2802.2095,5982.0,7.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
20,0.9111111,2859.5352,5982.0,8.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
21,0.91944444,2894.632,5982.0,9.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
22,0.9027778,2933.8916,5982.0,10.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
23,0.95,2973.7227,5982.0,11.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
24,0.98333335,2232.9614,5974.0,0.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
25,0.975,2282.6265,5974.0,1.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
26,0.95,2320.395,5974.0,2.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
27,0.9777778,2373.153,5974.0,3.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
28,0.9722222,2435.0483,5974.0,4.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
29,0.9722222,2497.0254,5974.0,5.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
30,0.9777778,2540.4639,5974.0,6.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
31,0.98333335,2583.8286,5974.0,7.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
32,0.9527778,2714.016,5974.0,8.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
33,0.9722222,2759.7058,5974.0,9.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
34,0.95555556,2796.4758,5974.0,10.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
35,0.9722222,2837.264,5974.0,11.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
36,0.68333334,2117.994,6062.0,0.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
37,0.65555555,2143.185,6062.0,1.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
38,0.6527778,2165.4312,6062.0,2.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
39,0.6638889,2222.1816,6062.0,3.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
40,0.66944444,2256.34,6062.0,4.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
41,0.60555553,2277.0747,6062.0,5.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
42,0.64444447,2321.3232,6062.0,6.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
43,0.62222224,2341.5518,6062.0,7.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
44,0.55,2370.1409,6062.0,8.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
45,0.7083333,2413.31,6062.0,9.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
46,0.5888889,2432.9868,6062.0,10.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
47,0.6,2455.164,6062.0,11.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
48,0.55833334,2210.2969,5982.0,0.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
49,0.6,2251.7349,5982.0,1.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
50,0.53055555,2270.9062,5982.0,2.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
51,0.48333332,2293.1938,5982.0,3.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
52,0.575,2319.2532,5982.0,4.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
53,0.5611111,2347.8562,5982.0,5.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
54,0.5138889,2374.1855,5982.0,6.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
55,0.5972222,2393.081,5982.0,7.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
56,0.49722221,2412.3828,5982.0,8.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
57,0.56666666,2431.7002,5982.0,9.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
58,0.6027778,2459.1987,5982.0,10.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
59,0.62222224,2482.9082,5982.0,11.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
60,0.6333333,2156.9895,5982.0,0.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
61,0.55277777,2223.4956,5982.0,1.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
62,0.6333333,2254.3215,5982.0,2.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
63,0.6527778,2286.652,5982.0,3.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
64,0.5833333,2308.4387,5982.0,4.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
65,0.65833336,2331.124,5982.0,5.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
66,0.56666666,2349.6372,5982.0,6.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
67,0.6527778,2400.0203,5982.0,7.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
68,0.58055556,2438.1133,5982.0,8.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Frozen
