,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.86858976,6012.844,6016.0,2,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
1,0.9102564,5789.343,5982.0,3,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
2,0.974359,5329.168,5974.0,4,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
3,0.73717946,5581.2007,6062.0,5,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
4,0.6826923,7095.0273,5982.0,6,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
5,0.7532051,5995.683,5982.0,7,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
6,0.74038464,5557.246,6094.0,8,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
7,0.5769231,6165.7485,5982.0,9,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
8,0.94551283,5328.915,5982.0,10,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
9,0.61538464,4542.5913,5982.0,11,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
10,0.98717946,4176.4995,5982.0,12,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
11,0.65384614,3483.9802,6022.0,13,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
12,0.9166667,2229.5037,5982.0,14,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
