,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.86944443,2156.0354,6016.0,2,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
1,0.9027778,2094.813,5982.0,3,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
2,0.975,1948.1819,5974.0,4,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
3,0.7277778,2055.3308,6062.0,5,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
4,0.6888889,2632.6375,5982.0,6,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
5,0.76111114,2059.6672,5982.0,7,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
6,0.74444443,1992.911,6094.0,8,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
7,0.5861111,2173.0605,5982.0,9,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
8,0.9444444,2025.4912,5982.0,10,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
9,0.63611114,2356.0996,5982.0,11,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
10,0.98055553,2227.9712,5982.0,12,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
11,0.66944444,1966.7657,6022.0,13,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
12,0.9166667,2236.8743,5982.0,14,session_E,21,1,Schirrmeister2017,EEGNetShared|_EA-Frozen
