,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.73717946,4703.4375,6016.0,0.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
1,0.75,4830.8257,6016.0,1.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
2,0.8333333,5116.8955,6016.0,2.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
3,0.84294873,5278.643,6016.0,3.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
4,0.7019231,5580.782,6016.0,4.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
5,0.6826923,5696.909,6016.0,5.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
6,0.59615386,5813.222,6016.0,6.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
7,0.84294873,6053.679,6016.0,7.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
8,0.58653843,6175.879,6016.0,8.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
9,0.8173077,6301.7476,6016.0,9.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
10,0.53846157,6404.733,6016.0,10.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
11,0.78205127,6678.0996,6016.0,11.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
12,0.9230769,5763.023,5982.0,0.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
13,0.86217946,5895.066,5982.0,1.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
14,0.8717949,6013.324,5982.0,2.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
15,0.9519231,6187.152,5982.0,3.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
16,0.8942308,6355.0083,5982.0,4.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
17,0.84615386,6467.5176,5982.0,5.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
18,0.8141026,6590.0435,5982.0,6.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
19,0.8557692,6706.944,5982.0,7.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
