,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.95,3716.8562,5982.0,0.0,12,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
1,0.95,3820.8247,5982.0,1.0,12,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
2,0.9777778,3934.4443,5982.0,2.0,12,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
3,0.96666664,3981.4536,5982.0,3.0,12,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
4,0.89444447,4058.3218,5982.0,4.0,12,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
5,0.9,4169.798,5982.0,5.0,12,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
6,0.9444444,4229.963,5982.0,6.0,12,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
7,0.92777777,4346.3433,5982.0,7.0,12,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
8,0.9638889,4414.8584,5982.0,8.0,12,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
9,0.8138889,4491.5054,5982.0,9.0,12,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
10,0.9111111,4561.8726,5982.0,10.0,12,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
11,0.96944445,4597.1772,5982.0,11.0,12,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
12,0.5083333,3921.3591,6022.0,0.0,13,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
13,0.7138889,3956.1746,6022.0,1.0,13,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
14,0.53333336,3993.256,6022.0,2.0,13,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
15,0.56666666,4030.287,6022.0,3.0,13,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
16,0.55277777,4064.769,6022.0,4.0,13,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
17,0.53333336,4099.808,6022.0,5.0,13,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
18,0.5222222,4135.5615,6022.0,6.0,13,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
19,0.55833334,4170.9307,6022.0,7.0,13,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
20,0.5472222,4205.8647,6022.0,8.0,13,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
21,0.50555557,4240.049,6022.0,9.0,13,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
22,0.50555557,4277.852,6022.0,10.0,13,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
23,0.675,4312.8125,6022.0,11.0,13,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
24,0.80277777,3835.593,5982.0,0.0,14,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
25,0.91944444,3876.1733,5982.0,1.0,14,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
26,0.8333333,3928.995,5982.0,2.0,14,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
27,0.7027778,3970.1016,5982.0,3.0,14,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
28,0.64166665,4008.4634,5982.0,4.0,14,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
29,0.8055556,4047.2808,5982.0,5.0,14,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
30,0.98055553,4129.6265,5982.0,6.0,14,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
31,0.8138889,4176.5337,5982.0,7.0,14,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
32,0.9305556,4226.6514,5982.0,8.0,14,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
33,0.82222223,4284.036,5982.0,9.0,14,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
34,0.91944444,4354.0347,5982.0,10.0,14,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
35,0.88055557,4429.411,5982.0,11.0,14,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
