,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.59444445,3824.2449,6016.0,0.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
1,0.75,3892.1187,6016.0,1.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
2,0.69166666,3960.6128,6016.0,2.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
3,0.70555556,4027.9749,6016.0,3.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
4,0.6638889,4123.4404,6016.0,4.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
5,0.63055557,4241.4526,6016.0,5.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
6,0.51111114,4298.315,6016.0,6.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
7,0.8277778,4394.964,6016.0,7.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
8,0.5388889,4457.9697,6016.0,8.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
9,0.7916667,4531.7754,6016.0,9.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
10,0.55277777,4591.165,6016.0,10.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
11,0.6666667,4651.8296,6016.0,11.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_EA-Not_Frozen
