,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.7777778,569.03766,6016.0,0.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
1,0.7416667,581.6373,6016.0,1.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
2,0.71666664,591.66144,6016.0,2.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
3,0.6527778,607.417,6016.0,3.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
4,0.74722224,615.5006,6016.0,4.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
5,0.73055553,632.0789,6016.0,5.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
6,0.5833333,648.4453,6016.0,6.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
7,0.8138889,665.3993,6016.0,7.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
8,0.6722222,681.4044,6016.0,8.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
9,0.79444444,689.6373,6016.0,9.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
10,0.6166667,698.0119,6016.0,10.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
11,0.7138889,706.2892,6016.0,11.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
12,0.7972222,519.42816,5982.0,0.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
13,0.8388889,536.34424,5982.0,1.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
14,0.8361111,552.5182,5982.0,2.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
15,0.7361111,570.24976,5982.0,3.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
