,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.5555556,559.3017,6016.0,0.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
1,0.7,559.3017,6016.0,1.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
2,0.5277778,559.3017,6016.0,2.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
3,0.49722221,559.3017,6016.0,3.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
4,0.7583333,559.3017,6016.0,4.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
5,0.51666665,559.3017,6016.0,5.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
6,0.51666665,559.3017,6016.0,6.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
7,0.6,559.3017,6016.0,7.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
8,0.54444444,559.3017,6016.0,8.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
9,0.5,559.3017,6016.0,9.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
10,0.5861111,559.3017,6016.0,10.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
11,0.7361111,559.3017,6016.0,11.0,2,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
12,0.5611111,471.42847,5982.0,0.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
13,0.70555556,471.42847,5982.0,1.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
14,0.6111111,471.42847,5982.0,2.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
15,0.51111114,471.42847,5982.0,3.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
16,0.55277777,471.42847,5982.0,4.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
17,0.51944447,471.42847,5982.0,5.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
18,0.53333336,471.42847,5982.0,6.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
19,0.6027778,471.42847,5982.0,7.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
20,0.47777778,471.42847,5982.0,8.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
21,0.5,471.42847,5982.0,9.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
22,0.8138889,471.42847,5982.0,10.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
23,0.5861111,471.42847,5982.0,11.0,3,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
24,0.7722222,445.40146,5974.0,0.0,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
25,0.63055557,445.40146,5974.0,1.0,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
26,0.6333333,445.40146,5974.0,2.0,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
27,0.5083333,445.40146,5974.0,3.0,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
28,0.73333335,445.40146,5974.0,4.0,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
29,0.50277776,445.40146,5974.0,5.0,4,both,21,1,Schirrmeister2017,AttentionBaseNet|_Without_EA-Frozen
