,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.5208333,123.58623,6016.0,0.0,0.30094695,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
1,0.5208333,123.58623,6016.0,1.0,0.43262964,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
2,0.5833333,123.58623,6016.0,2.0,0.26555777,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
3,0.5208333,123.58623,6016.0,3.0,0.27403405,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
4,0.5416667,123.58623,6016.0,4.0,0.29546678,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
5,0.5416667,123.58623,6016.0,5.0,0.32208356,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
6,0.41666666,123.58623,6016.0,6.0,0.29819503,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
7,0.5,123.58623,6016.0,7.0,0.3361254,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
8,0.5833333,123.58623,6016.0,8.0,0.30790946,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
9,0.5,123.58623,6016.0,9.0,0.45482823,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
10,0.5625,123.58623,6016.0,10.0,0.3388855,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
11,0.5,123.58623,6016.0,11.0,0.3002503,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
12,0.5,117.20758,5982.0,0.0,0.31872824,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
13,0.7708333,117.20758,5982.0,1.0,0.31295997,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
14,0.45833334,117.20758,5982.0,2.0,0.25943753,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
15,0.5208333,117.20758,5982.0,3.0,0.28653085,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
16,0.45833334,117.20758,5982.0,4.0,0.2636262,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
17,0.75,117.20758,5982.0,5.0,0.27792022,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
18,0.39583334,117.20758,5982.0,6.0,0.25968868,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
19,0.75,117.20758,5982.0,7.0,0.25647548,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
20,0.5208333,117.20758,5982.0,8.0,0.26082036,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
21,0.6666667,117.20758,5982.0,9.0,0.5187443,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
22,0.75,117.20758,5982.0,10.0,0.2812082,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
23,0.7708333,117.20758,5982.0,11.0,0.26003456,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
24,0.75,95.47166,5974.0,0.0,0.49423298,4,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
25,0.5,95.47166,5974.0,1.0,0.3596206,4,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
26,0.6458333,95.47166,5974.0,2.0,0.35521448,4,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
27,0.47916666,95.47166,5974.0,3.0,0.43922165,4,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
28,0.7083333,95.47166,5974.0,4.0,0.39272648,4,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
29,0.5833333,95.47166,5974.0,5.0,0.4517607,4,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
30,0.6875,95.47166,5974.0,6.0,0.36732563,4,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
31,0.7916667,95.47166,5974.0,7.0,0.47630963,4,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
32,0.47916666,95.47166,5974.0,8.0,0.47819477,4,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
33,0.5625,95.47166,5974.0,9.0,0.90199554,4,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
34,0.6041667,95.47166,5974.0,10.0,0.43945,4,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
35,0.5833333,95.47166,5974.0,11.0,0.43182105,4,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
36,0.6041667,86.79243,6062.0,0.0,0.3107389,5,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
37,0.5,86.79243,6062.0,1.0,0.3369129,5,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
38,0.7083333,86.79243,6062.0,2.0,0.40883416,5,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
39,0.5,86.79243,6062.0,3.0,0.32637066,5,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
