,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.66944444,130.52948,6016.0,0.0,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
1,0.74444443,134.30331,6016.0,1.0,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
2,0.61944443,149.80075,6016.0,2.0,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
3,0.61944443,154.68256,6016.0,3.0,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
4,0.64166665,168.34964,6016.0,4.0,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
5,0.5611111,171.59227,6016.0,5.0,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
6,0.5833333,191.9504,6016.0,6.0,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
7,0.7583333,196.60515,6016.0,7.0,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
8,0.60833335,210.08804,6016.0,8.0,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
9,0.75277776,212.64479,6016.0,9.0,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
10,0.5972222,220.09277,6016.0,10.0,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
11,0.63055557,225.32324,6016.0,11.0,2,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
12,0.75277776,107.20777,5982.0,0.0,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
13,0.74722224,111.088646,5982.0,1.0,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
14,0.7416667,115.58595,5982.0,2.0,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
15,0.6944444,118.5122,5982.0,3.0,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
16,0.6722222,123.74419,5982.0,4.0,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
17,0.73055553,127.69365,5982.0,5.0,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
18,0.7027778,133.67215,5982.0,6.0,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
19,0.79444444,137.51764,5982.0,7.0,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
20,0.7,147.78862,5982.0,8.0,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
21,0.7138889,150.3708,5982.0,9.0,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
22,0.775,155.10757,5982.0,10.0,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
23,0.80277777,157.29335,5982.0,11.0,3,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
24,0.74444443,103.541145,5974.0,0.0,4,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
25,0.78055555,107.175285,5974.0,1.0,4,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
26,0.7638889,118.37304,5974.0,2.0,4,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
27,0.5611111,120.49633,5974.0,3.0,4,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
28,0.6166667,122.905716,5974.0,4.0,4,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
29,0.65555555,125.43715,5974.0,5.0,4,both,21,1,Schirrmeister2017,CTNet|_Without_EA-Frozen
