,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.849359,7203.95,6016.0,0.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
1,0.849359,7392.8633,6016.0,1.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
2,0.80448717,7565.767,6016.0,2.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
3,0.84294873,7788.127,6016.0,3.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
4,0.8557692,8059.4126,6016.0,4.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
5,0.86217946,8299.623,6016.0,5.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
6,0.77884614,8621.759,6016.0,6.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
7,0.86217946,8782.326,6016.0,7.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
8,0.61858976,8953.796,6016.0,8.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
9,0.849359,9075.571,6016.0,9.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
10,0.7532051,9276.359,6016.0,10.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
11,0.7852564,9453.943,6016.0,11.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
12,0.900641,7601.1626,5982.0,0.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
13,0.76282054,7707.003,5982.0,1.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
14,0.8942308,7813.166,5982.0,2.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
15,0.900641,7922.5903,5982.0,3.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
16,0.94551283,8083.7676,5982.0,4.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
17,0.9647436,8356.48,5982.0,5.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
18,0.8942308,8507.965,5982.0,6.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
19,0.9423077,8699.17,5982.0,7.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
20,0.9551282,8991.785,5982.0,8.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
21,0.90705127,9156.621,5982.0,9.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
22,0.8942308,9267.634,5982.0,10.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
23,0.9102564,9401.969,5982.0,11.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
24,0.9326923,8662.785,5974.0,0.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
25,0.9551282,8893.322,5974.0,1.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
26,0.96153843,9372.399,5974.0,2.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
27,0.96794873,9693.342,5974.0,3.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
28,0.96153843,10030.95,5974.0,4.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
29,0.96794873,10377.275,5974.0,5.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
30,0.9551282,10623.199,5974.0,6.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
31,0.9551282,10969.85,5974.0,7.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
32,0.94871795,11544.78,5974.0,8.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
33,0.94871795,11697.438,5974.0,9.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
34,0.9326923,11917.757,5974.0,10.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
35,0.97115386,12109.87,5974.0,11.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
36,0.6826923,8161.366,6062.0,0.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
37,0.58653843,8265.193,6062.0,1.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
38,0.6891026,8575.6,6062.0,2.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
39,0.6442308,8746.622,6062.0,3.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
40,0.64102566,8870.462,6062.0,4.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
41,0.724359,9151.087,6062.0,5.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
42,0.6602564,9401.231,6062.0,6.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
43,0.63782054,9555.012,6062.0,7.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
44,0.5897436,9693.675,6062.0,8.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
45,0.6858974,9988.676,6062.0,9.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
46,0.63141024,10155.279,6062.0,10.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
47,0.67628205,10430.634,6062.0,11.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
48,0.55128205,8267.164,5982.0,0.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
49,0.61538464,8379.091,5982.0,1.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
50,0.5480769,8621.47,5982.0,2.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
51,0.59294873,8857.196,5982.0,3.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
52,0.5448718,9223.254,5982.0,4.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
53,0.5673077,9447.131,5982.0,5.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
54,0.50961536,9596.988,5982.0,6.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
55,0.6217949,9802.87,5982.0,7.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
56,0.5352564,9965.85,5982.0,8.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
57,0.53846157,10087.247,5982.0,9.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
58,0.5897436,10230.642,5982.0,10.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
59,0.6282051,10403.995,5982.0,11.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
60,0.599359,5886.3286,5982.0,0.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
61,0.6666667,6036.1924,5982.0,1.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
62,0.59615386,6163.3857,5982.0,2.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
63,0.6025641,6263.4897,5982.0,3.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
64,0.599359,6375.114,5982.0,4.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
65,0.58653843,6468.722,5982.0,5.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
66,0.60897434,6589.9805,5982.0,6.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
67,0.650641,6689.882,5982.0,7.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
68,0.53846157,6796.9985,5982.0,8.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
69,0.60897434,6873.3296,5982.0,9.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
70,0.57371795,6998.4077,5982.0,10.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
71,0.61538464,7215.2764,5982.0,11.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
72,0.61858976,5605.073,6094.0,0.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
73,0.74358976,5821.3037,6094.0,1.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
74,0.724359,5966.6426,6094.0,2.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
75,0.6730769,6155.898,6094.0,3.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
76,0.6826923,6254.919,6094.0,4.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
77,0.5576923,6355.7114,6094.0,5.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
78,0.67948717,6551.1167,6094.0,6.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
79,0.724359,6743.057,6094.0,7.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
80,0.71794873,6845.932,6094.0,8.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
81,0.6698718,6926.2783,6094.0,9.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
82,0.7467949,7029.0513,6094.0,10.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
83,0.69871795,7169.055,6094.0,11.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
