,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.7138889,5382.8486,6016.0,0.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
1,0.8,5462.762,6016.0,1.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
2,0.79444444,5592.2393,6016.0,2.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
3,0.6611111,5625.895,6016.0,3.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
4,0.75555557,5697.742,6016.0,4.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
5,0.7277778,5796.2495,6016.0,5.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
6,0.625,5877.81,6016.0,6.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
7,0.8277778,5933.044,6016.0,7.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
8,0.7083333,6023.3037,6016.0,8.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
9,0.7416667,6094.0854,6016.0,9.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
10,0.7111111,6167.771,6016.0,10.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
11,0.69722223,6208.196,6016.0,11.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
12,0.9166667,4176.252,5982.0,0.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
13,0.81666666,4206.3174,5982.0,1.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
14,0.78333336,4237.578,5982.0,2.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
15,0.8111111,4255.5977,5982.0,3.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
16,0.8,4313.0703,5982.0,4.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
17,0.875,4332.3647,5982.0,5.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
18,0.8194444,4366.3994,5982.0,6.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
19,0.7972222,4378.216,5982.0,7.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
20,0.84166664,4412.711,5982.0,8.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
21,0.87777776,4431.189,5982.0,9.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
22,0.78333336,4443.398,5982.0,10.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
23,0.87222224,4462.284,5982.0,11.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
