,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.7138889,5194.339,6016.0,0.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
1,0.7638889,5263.4243,6016.0,1.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
2,0.76666665,5334.0337,6016.0,2.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
3,0.68333334,5362.0005,6016.0,3.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
4,0.74444443,5421.111,6016.0,4.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
5,0.75,5466.223,6016.0,5.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
6,0.65833336,5533.09,6016.0,6.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
7,0.8111111,5561.842,6016.0,7.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
8,0.725,5614.4746,6016.0,8.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
9,0.73888886,5672.0884,6016.0,9.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
10,0.7277778,5719.482,6016.0,10.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
11,0.6944444,5746.0137,6016.0,11.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
