,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.6875,2346.3203,6016.0,0.0,0.3125937,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
1,0.625,2346.3203,6016.0,1.0,0.3453378,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
2,0.6041667,2346.3203,6016.0,2.0,0.3353228,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
3,0.5,2346.3203,6016.0,3.0,0.31036592,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
4,0.5833333,2346.3203,6016.0,4.0,0.3493586,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
5,0.5625,2346.3203,6016.0,5.0,0.3174722,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
6,0.5,2346.3203,6016.0,6.0,0.30569717,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
7,0.5833333,2346.3203,6016.0,7.0,0.3647682,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
8,0.47916666,2346.3203,6016.0,8.0,0.28035414,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
9,0.5,2346.3203,6016.0,9.0,0.39287123,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
10,0.6041667,2346.3203,6016.0,10.0,0.3560938,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
11,0.45833334,2346.3203,6016.0,11.0,0.27106124,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
12,0.6041667,2333.6921,5982.0,0.0,0.58242816,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
13,0.7916667,2333.6921,5982.0,1.0,0.5152337,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
14,0.5833333,2333.6921,5982.0,2.0,0.540381,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
15,0.5,2333.6921,5982.0,3.0,0.5095839,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
16,0.5416667,2333.6921,5982.0,4.0,0.5991113,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
17,0.7291667,2333.6921,5982.0,5.0,0.55266905,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
18,0.4375,2333.6921,5982.0,6.0,0.51745754,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
19,0.6041667,2333.6921,5982.0,7.0,0.5400387,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
20,0.5,2333.6921,5982.0,8.0,0.5140461,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
21,0.5,2333.6921,5982.0,9.0,0.64144987,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
22,0.7916667,2333.6921,5982.0,10.0,0.59337926,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
23,0.5,2333.6921,5982.0,11.0,0.5496829,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
24,0.7916667,2380.9197,5974.0,0.0,0.71301734,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
25,0.6666667,2380.9197,5974.0,1.0,0.44498196,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
26,0.625,2380.9197,5974.0,2.0,0.50833356,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
27,0.6458333,2380.9197,5974.0,3.0,0.52227825,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
28,0.7083333,2380.9197,5974.0,4.0,0.49865237,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
29,0.5416667,2380.9197,5974.0,5.0,0.386562,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
30,0.47916666,2380.9197,5974.0,6.0,0.503306,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
31,0.875,2380.9197,5974.0,7.0,0.6752875,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
32,0.47916666,2380.9197,5974.0,8.0,0.55563533,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
33,0.8958333,2380.9197,5974.0,9.0,0.7184905,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
34,0.5416667,2380.9197,5974.0,10.0,0.3887049,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
35,0.5625,2380.9197,5974.0,11.0,0.34802094,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
36,0.75,2280.3743,6062.0,0.0,0.37600684,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
37,0.5625,2280.3743,6062.0,1.0,0.28848198,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
38,0.75,2280.3743,6062.0,2.0,0.42624572,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
39,0.5,2280.3743,6062.0,3.0,0.30473283,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
40,0.75,2280.3743,6062.0,4.0,0.39192593,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
41,0.5833333,2280.3743,6062.0,5.0,0.35531932,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
42,0.5208333,2280.3743,6062.0,6.0,0.32021302,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
43,0.6666667,2280.3743,6062.0,7.0,0.36539203,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
44,0.45833334,2280.3743,6062.0,8.0,0.34214166,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
45,0.5,2280.3743,6062.0,9.0,0.42114186,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
46,0.5208333,2280.3743,6062.0,10.0,0.2920496,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
47,0.5,2280.3743,6062.0,11.0,0.30612904,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
48,0.625,2279.6128,5982.0,0.0,0.42942017,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
49,0.47916666,2279.6128,5982.0,1.0,0.471824,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
50,0.5625,2279.6128,5982.0,2.0,0.45129552,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
51,0.5833333,2279.6128,5982.0,3.0,0.48959988,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
52,0.6041667,2279.6128,5982.0,4.0,0.42186123,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
53,0.5625,2279.6128,5982.0,5.0,0.40204576,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
54,0.47916666,2279.6128,5982.0,6.0,0.3847242,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
55,0.47916666,2279.6128,5982.0,7.0,0.40856224,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
56,0.5,2279.6128,5982.0,8.0,0.43887153,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
57,0.5,2279.6128,5982.0,9.0,0.38902247,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
58,0.39583334,2279.6128,5982.0,10.0,0.42751583,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
59,0.5208333,2279.6128,5982.0,11.0,0.40444425,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
60,0.5416667,2275.2761,5982.0,0.0,0.2806824,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
61,0.5,2275.2761,5982.0,1.0,0.26805362,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
62,0.6875,2275.2761,5982.0,2.0,0.29851684,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
63,0.5416667,2275.2761,5982.0,3.0,0.2768945,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
64,0.5416667,2275.2761,5982.0,4.0,0.28648573,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
65,0.5,2275.2761,5982.0,5.0,0.20496479,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
66,0.5,2275.2761,5982.0,6.0,0.24935828,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
67,0.5625,2275.2761,5982.0,7.0,0.28946888,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
68,0.5,2275.2761,5982.0,8.0,0.2141529,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
69,0.5416667,2275.2761,5982.0,9.0,0.2928265,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
70,0.4375,2275.2761,5982.0,10.0,0.21017413,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
71,0.5833333,2275.2761,5982.0,11.0,0.24051881,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
72,0.5,2326.0217,6094.0,0.0,0.22848,8,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
73,0.5,2326.0217,6094.0,1.0,0.25587004,8,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
74,0.5208333,2326.0217,6094.0,2.0,0.24632889,8,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
75,0.5625,2326.0217,6094.0,3.0,0.2462771,8,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
76,0.5,2326.0217,6094.0,4.0,0.24193707,8,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
77,0.45833334,2326.0217,6094.0,5.0,0.20894063,8,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
78,0.5,2326.0217,6094.0,6.0,0.21310878,8,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
79,0.47916666,2326.0217,6094.0,7.0,0.23635249,8,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
80,0.47916666,2326.0217,6094.0,8.0,0.24078439,8,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
81,0.47916666,2326.0217,6094.0,9.0,0.2553053,8,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
82,0.5625,2326.0217,6094.0,10.0,0.28033885,8,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
83,0.5,2326.0217,6094.0,11.0,0.28926554,8,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
84,0.625,2341.193,5982.0,0.0,0.27243394,9,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
85,0.45833334,2341.193,5982.0,1.0,0.3332462,9,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
86,0.5416667,2341.193,5982.0,2.0,0.25958648,9,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
87,0.47916666,2341.193,5982.0,3.0,0.3168497,9,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
88,0.5,2341.193,5982.0,4.0,0.320647,9,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
89,0.5416667,2341.193,5982.0,5.0,0.29757437,9,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
90,0.5833333,2341.193,5982.0,6.0,0.29060984,9,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
91,0.6041667,2341.193,5982.0,7.0,0.29891714,9,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
92,0.4375,2341.193,5982.0,8.0,0.30546674,9,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
93,0.5208333,2341.193,5982.0,9.0,0.27389213,9,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
94,0.5625,2341.193,5982.0,10.0,0.3154931,9,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
95,0.5625,2341.193,5982.0,11.0,0.37921444,9,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
96,0.5416667,1972.3834,5982.0,0.0,0.7300137,10,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
97,0.8333333,1972.3834,5982.0,1.0,0.70464444,10,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
98,0.5416667,1972.3834,5982.0,2.0,0.7037616,10,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
99,0.6041667,1972.3834,5982.0,3.0,0.6720979,10,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
100,0.75,1972.3834,5982.0,4.0,0.6670788,10,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
101,0.5,1972.3834,5982.0,5.0,0.69416404,10,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
102,0.5,1972.3834,5982.0,6.0,0.72258866,10,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
103,0.5625,1972.3834,5982.0,7.0,0.496388,10,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
104,0.5208333,1972.3834,5982.0,8.0,0.6508325,10,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
105,0.8333333,1972.3834,5982.0,9.0,0.7061776,10,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
106,0.5208333,1972.3834,5982.0,10.0,0.68198144,10,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
107,0.5833333,1972.3834,5982.0,11.0,0.7254357,10,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
108,0.5,2315.8245,5982.0,0.0,0.3273332,11,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
109,0.5,2315.8245,5982.0,1.0,0.4031668,11,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
110,0.5208333,2315.8245,5982.0,2.0,0.3496276,11,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
111,0.5208333,2315.8245,5982.0,3.0,0.35022083,11,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
112,0.5208333,2315.8245,5982.0,4.0,0.32073355,11,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
113,0.5,2315.8245,5982.0,5.0,0.3054761,11,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
114,0.47916666,2315.8245,5982.0,6.0,0.31213936,11,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
115,0.47916666,2315.8245,5982.0,7.0,0.2890451,11,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
116,0.5,2315.8245,5982.0,8.0,0.32060435,11,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
117,0.5208333,2315.8245,5982.0,9.0,0.3294328,11,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
118,0.5416667,2315.8245,5982.0,10.0,0.34488675,11,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
119,0.5,2315.8245,5982.0,11.0,0.2669727,11,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
120,0.9583333,2335.6028,5982.0,0.0,0.89805967,12,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
121,0.7083333,2335.6028,5982.0,1.0,0.4504083,12,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
122,0.7708333,2335.6028,5982.0,2.0,0.8622751,12,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
123,0.6666667,2335.6028,5982.0,3.0,0.8173194,12,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
124,0.5416667,2335.6028,5982.0,4.0,0.71261495,12,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
125,0.8333333,2335.6028,5982.0,5.0,0.82764065,12,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
126,0.6458333,2335.6028,5982.0,6.0,0.560621,12,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
127,0.45833334,2335.6028,5982.0,7.0,0.68400145,12,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
128,0.7708333,2335.6028,5982.0,8.0,0.78745526,12,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
129,0.5208333,2335.6028,5982.0,9.0,0.5088994,12,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
130,0.625,2335.6028,5982.0,10.0,0.58014214,12,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
131,0.7708333,2335.6028,5982.0,11.0,0.4916339,12,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
132,0.47916666,2309.8857,6022.0,0.0,0.21495773,13,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
133,0.5625,2309.8857,6022.0,1.0,0.28180948,13,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
134,0.5,2309.8857,6022.0,2.0,0.24214797,13,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
135,0.47916666,2309.8857,6022.0,3.0,0.25127622,13,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
136,0.47916666,2309.8857,6022.0,4.0,0.3175662,13,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
137,0.6875,2309.8857,6022.0,5.0,0.31660482,13,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
138,0.5,2309.8857,6022.0,6.0,0.28395677,13,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
139,0.5,2309.8857,6022.0,7.0,0.30760518,13,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
140,0.47916666,2309.8857,6022.0,8.0,0.27543092,13,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
141,0.5416667,2309.8857,6022.0,9.0,0.27280802,13,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
142,0.5,2309.8857,6022.0,10.0,0.32866308,13,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
143,0.5416667,2309.8857,6022.0,11.0,0.25252706,13,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
144,0.7083333,2310.8152,5982.0,0.0,0.48899657,14,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
145,0.7083333,2310.8152,5982.0,1.0,0.53116065,14,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
146,0.625,2310.8152,5982.0,2.0,0.5226624,14,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
147,0.6666667,2310.8152,5982.0,3.0,0.59011096,14,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
148,0.8125,2310.8152,5982.0,4.0,0.556152,14,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
149,0.5416667,2310.8152,5982.0,5.0,0.49863547,14,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
150,0.7083333,2310.8152,5982.0,6.0,0.5089105,14,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
151,0.41666666,2310.8152,5982.0,7.0,0.47929832,14,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
152,0.47916666,2310.8152,5982.0,8.0,0.46812907,14,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
153,0.5,2310.8152,5982.0,9.0,0.616846,14,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
154,0.5,2310.8152,5982.0,10.0,0.44721413,14,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
155,0.6041667,2310.8152,5982.0,11.0,0.6007406,14,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
