,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.6944444,2552.335,6016.0,0.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
1,0.7638889,2581.5225,6016.0,1.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
2,0.75277776,2609.51,6016.0,2.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
3,0.78055555,2637.761,6016.0,3.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
4,0.7638889,2671.5945,6016.0,4.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
5,0.62777776,2703.7751,6016.0,5.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
6,0.6666667,2734.9438,6016.0,6.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
7,0.80277777,2758.6802,6016.0,7.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
8,0.6861111,2791.2021,6016.0,8.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
9,0.7861111,2824.813,6016.0,9.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
10,0.575,2849.5618,6016.0,10.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
11,0.63611114,2866.6724,6016.0,11.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
12,0.8055556,2369.3074,5982.0,0.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
13,0.8472222,2401.5366,5982.0,1.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
14,0.88055557,2433.3508,5982.0,2.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
15,0.85,2466.0376,5982.0,3.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
16,0.8472222,2497.8896,5982.0,4.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
17,0.8888889,2525.468,5982.0,5.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
18,0.7861111,2556.1082,5982.0,6.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
19,0.8611111,2590.6206,5982.0,7.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
20,0.85555553,2623.0586,5982.0,8.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
21,0.88611114,2654.4866,5982.0,9.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
22,0.875,2685.2786,5982.0,10.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
23,0.87777776,2704.5725,5982.0,11.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
24,0.975,2196.9424,5974.0,0.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
25,0.91944444,2226.8516,5974.0,1.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
26,0.9,2254.4592,5974.0,2.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
27,0.8666667,2285.2324,5974.0,3.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
28,0.9361111,2315.8003,5974.0,4.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
29,0.925,2347.1633,5974.0,5.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
30,0.85833335,2376.8208,5974.0,6.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
31,0.9638889,2406.7498,5974.0,7.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
32,0.85555553,2441.9917,5974.0,8.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
33,0.94166666,2477.4287,5974.0,9.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
34,0.90555555,2510.9753,5974.0,10.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
35,0.91944444,2544.401,5974.0,11.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
36,0.6333333,2284.1128,6062.0,0.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
37,0.5972222,2299.6567,6062.0,1.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
38,0.64166665,2314.8157,6062.0,2.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
39,0.5972222,2330.3525,6062.0,3.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
40,0.5277778,2346.8843,6062.0,4.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
41,0.6027778,2375.5173,6062.0,5.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
42,0.5277778,2404.0461,6062.0,6.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
43,0.60555553,2426.5103,6062.0,7.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
44,0.5555556,2455.5679,6062.0,8.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
45,0.6472222,2472.2324,6062.0,9.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
46,0.56666666,2501.344,6062.0,10.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
47,0.62222224,2530.842,6062.0,11.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
48,0.56666666,2127.2363,5982.0,0.0,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
49,0.5972222,2157.607,5982.0,1.0,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
50,0.55,2173.5112,5982.0,2.0,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
51,0.59166664,2202.601,5982.0,3.0,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
52,0.57222223,2224.697,5982.0,4.0,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
53,0.51944447,2255.0835,5982.0,5.0,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
