,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.63611114,2523.0112,6016.0,0.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
1,0.7416667,2523.0112,6016.0,1.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
2,0.53333336,2523.0112,6016.0,2.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
3,0.50277776,2523.0112,6016.0,3.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
4,0.58055556,2523.0112,6016.0,4.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
5,0.5361111,2523.0112,6016.0,5.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
6,0.46666667,2523.0112,6016.0,6.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
7,0.6388889,2523.0112,6016.0,7.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
8,0.55,2523.0112,6016.0,8.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
9,0.5,2523.0112,6016.0,9.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
10,0.575,2523.0112,6016.0,10.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
11,0.5777778,2523.0112,6016.0,11.0,2,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
12,0.56666666,2435.1985,5982.0,0.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
13,0.6666667,2435.1985,5982.0,1.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
14,0.5472222,2435.1985,5982.0,2.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
15,0.6,2435.1985,5982.0,3.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
16,0.5083333,2435.1985,5982.0,4.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
17,0.6166667,2435.1985,5982.0,5.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
18,0.5,2435.1985,5982.0,6.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
19,0.56666666,2435.1985,5982.0,7.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
20,0.37777779,2435.1985,5982.0,8.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
21,0.5,2435.1985,5982.0,9.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
22,0.89166665,2435.1985,5982.0,10.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
23,0.51111114,2435.1985,5982.0,11.0,3,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
24,0.7972222,2358.4634,5974.0,0.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
25,0.7888889,2358.4634,5974.0,1.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
26,0.6638889,2358.4634,5974.0,2.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
27,0.69166666,2358.4634,5974.0,3.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
28,0.7638889,2358.4634,5974.0,4.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
29,0.55277777,2358.4634,5974.0,5.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
30,0.46944445,2358.4634,5974.0,6.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
31,0.87777776,2358.4634,5974.0,7.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
32,0.5083333,2358.4634,5974.0,8.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
33,0.86388886,2358.4634,5974.0,9.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
34,0.63055557,2358.4634,5974.0,10.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
35,0.55277777,2358.4634,5974.0,11.0,4,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
36,0.55833334,2369.596,6062.0,0.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
37,0.55833334,2369.596,6062.0,1.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
38,0.625,2369.596,6062.0,2.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
39,0.5222222,2369.596,6062.0,3.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
40,0.62222224,2369.596,6062.0,4.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
41,0.5222222,2369.596,6062.0,5.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
42,0.50555557,2369.596,6062.0,6.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
43,0.6027778,2369.596,6062.0,7.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
44,0.51111114,2369.596,6062.0,8.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
45,0.50277776,2369.596,6062.0,9.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
46,0.5388889,2369.596,6062.0,10.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
47,0.53333336,2369.596,6062.0,11.0,5,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
48,0.575,2402.874,5982.0,0.0,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
49,0.50555557,2402.874,5982.0,1.0,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
50,0.53055555,2402.874,5982.0,2.0,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
51,0.525,2402.874,5982.0,3.0,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
52,0.6,2402.874,5982.0,4.0,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
53,0.51666665,2402.874,5982.0,5.0,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
54,0.51666665,2402.874,5982.0,6.0,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
55,0.53333336,2402.874,5982.0,7.0,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
56,0.48333332,2402.874,5982.0,8.0,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
57,0.5,2402.874,5982.0,9.0,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
58,0.4861111,2402.874,5982.0,10.0,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
59,0.59166664,2402.874,5982.0,11.0,6,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
60,0.5638889,2422.749,5982.0,0.0,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
61,0.51666665,2422.749,5982.0,1.0,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
62,0.6027778,2422.749,5982.0,2.0,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
63,0.6027778,2422.749,5982.0,3.0,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
64,0.5472222,2422.749,5982.0,4.0,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
65,0.53055555,2422.749,5982.0,5.0,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
66,0.525,2422.749,5982.0,6.0,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
67,0.53055555,2422.749,5982.0,7.0,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
68,0.48333332,2422.749,5982.0,8.0,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
69,0.51666665,2422.749,5982.0,9.0,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
70,0.525,2422.749,5982.0,10.0,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
71,0.4611111,2422.749,5982.0,11.0,7,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
72,0.5222222,2418.2517,6094.0,0.0,8,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
73,0.51666665,2418.2517,6094.0,1.0,8,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
74,0.525,2418.2517,6094.0,2.0,8,both,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
