,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.625,741.2394,6016.0,0.0,0.38988027,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
1,0.5,741.2394,6016.0,1.0,0.4056386,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
2,0.5,741.2394,6016.0,2.0,0.4482601,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
3,0.5,741.2394,6016.0,3.0,0.38307866,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
4,0.7916667,741.2394,6016.0,4.0,0.39087453,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
5,0.5416667,741.2394,6016.0,5.0,0.3413415,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
6,0.5416667,741.2394,6016.0,6.0,0.42502412,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
7,0.6666667,741.2394,6016.0,7.0,0.41630223,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
8,0.5416667,741.2394,6016.0,8.0,0.43905687,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
9,0.5,741.2394,6016.0,9.0,0.5031369,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
10,0.5833333,741.2394,6016.0,10.0,0.39901718,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
11,0.375,741.2394,6016.0,11.0,0.3281593,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
12,0.5,755.6288,5982.0,0.0,0.66222376,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
13,0.6666667,755.6288,5982.0,1.0,0.5858432,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
14,0.41666666,755.6288,5982.0,2.0,0.51119953,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
15,0.5,755.6288,5982.0,3.0,0.58085907,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
16,0.5833333,755.6288,5982.0,4.0,0.5978659,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
17,0.5833333,755.6288,5982.0,5.0,0.64247465,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
18,0.33333334,755.6288,5982.0,6.0,0.5802231,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
19,0.625,755.6288,5982.0,7.0,0.56797445,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
20,0.5,755.6288,5982.0,8.0,0.5442927,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
21,0.5,755.6288,5982.0,9.0,0.7336463,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
22,0.75,755.6288,5982.0,10.0,0.630732,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
23,0.5,755.6288,5982.0,11.0,0.5803286,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
24,0.9166667,715.121,5974.0,0.0,0.8291555,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
25,0.8333333,715.121,5974.0,1.0,0.51457715,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
26,0.8333333,715.121,5974.0,2.0,0.57958204,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
27,0.75,715.121,5974.0,3.0,0.7074633,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
28,0.6666667,715.121,5974.0,4.0,0.5980137,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
29,0.6666667,715.121,5974.0,5.0,0.4252958,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
30,0.5416667,715.121,5974.0,6.0,0.6218825,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
31,0.9166667,715.121,5974.0,7.0,0.76781404,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
32,0.45833334,715.121,5974.0,8.0,0.59490865,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
33,0.875,715.121,5974.0,9.0,0.67819345,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
34,0.625,715.121,5974.0,10.0,0.44992092,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
35,0.5416667,715.121,5974.0,11.0,0.34266436,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
36,0.75,788.9538,6062.0,0.0,0.47955808,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
37,0.5416667,788.9538,6062.0,1.0,0.4015302,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
38,0.6666667,788.9538,6062.0,2.0,0.50450903,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
39,0.5,788.9538,6062.0,3.0,0.38114762,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
40,0.5833333,788.9538,6062.0,4.0,0.41021112,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Frozen
