,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.71428573,5586.1953,6016.0,0.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
1,0.70238096,5653.6177,6016.0,1.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
2,0.73214287,5721.453,6016.0,2.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
3,0.7827381,5837.3696,6016.0,3.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
4,0.73511904,5942.068,6016.0,4.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
5,0.55654764,5989.7603,6016.0,5.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
6,0.72321427,6088.0054,6016.0,6.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
7,0.81845236,6188.527,6016.0,7.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
8,0.5208333,6239.302,6016.0,8.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
9,0.7619048,6326.783,6016.0,9.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
10,0.6964286,6440.0747,6016.0,10.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
11,0.76785713,6498.93,6016.0,11.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
12,0.86011904,4681.041,5982.0,0.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
13,0.875,4761.754,5982.0,1.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
14,0.875,4830.5127,5982.0,2.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
15,0.9255952,4893.794,5982.0,3.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
16,0.8154762,4969.2153,5982.0,4.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
17,0.9285714,5061.853,5982.0,5.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
18,0.79464287,5117.451,5982.0,6.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
19,0.8779762,5226.9653,5982.0,7.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
20,0.8244048,5276.015,5982.0,8.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
21,0.91071427,5335.1543,5982.0,9.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
22,0.90178573,5435.95,5982.0,10.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
23,0.89285713,5523.879,5982.0,11.0,3,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
24,0.9285714,4721.813,5974.0,0.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
25,0.9375,4803.4136,5974.0,1.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
26,0.9077381,4863.072,5974.0,2.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
27,0.9583333,4990.328,5974.0,3.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
28,0.92261904,5136.6963,5974.0,4.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
29,0.9077381,5238.637,5974.0,5.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
30,0.9375,5297.4355,5974.0,6.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
31,0.9464286,5452.546,5974.0,7.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
32,0.9166667,5575.8833,5974.0,8.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
33,0.95535713,5644.8926,5974.0,9.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
34,0.8869048,5697.1914,5974.0,10.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
35,0.8541667,5741.6235,5974.0,11.0,4,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
36,0.6160714,5136.9497,6062.0,0.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
37,0.625,5242.189,6062.0,1.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
38,0.66071427,5303.8525,6062.0,2.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
39,0.61011904,5388.8433,6062.0,3.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
40,0.56845236,5437.172,6062.0,4.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
41,0.5952381,5507.3926,6062.0,5.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
42,0.5625,5557.6895,6062.0,6.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
43,0.59821427,5683.3076,6062.0,7.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
44,0.5416667,5733.425,6062.0,8.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
45,0.6279762,5829.517,6062.0,9.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
46,0.57738096,5875.896,6062.0,10.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
47,0.6041667,5928.505,6062.0,11.0,5,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
48,0.60714287,5606.7812,5982.0,0.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
49,0.5922619,5658.3877,5982.0,1.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
50,0.5714286,5725.3706,5982.0,2.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
51,0.48214287,5768.589,5982.0,3.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
52,0.51785713,5843.6367,5982.0,4.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
53,0.54464287,5892.878,5982.0,5.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
54,0.5208333,5940.9883,5982.0,6.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
55,0.5297619,5988.5894,5982.0,7.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
56,0.53869045,6042.9673,5982.0,8.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
57,0.5535714,6085.84,5982.0,9.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
58,0.54761904,6164.08,5982.0,10.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
59,0.5952381,6205.238,5982.0,11.0,6,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
60,0.5327381,3320.7837,5982.0,0.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
61,0.58035713,3345.5024,5982.0,1.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
62,0.57738096,3376.7593,5982.0,2.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
63,0.55654764,3403.8384,5982.0,3.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
64,0.5327381,3434.237,5982.0,4.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
65,0.5,3462.2812,5982.0,5.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
66,0.52380955,3487.8127,5982.0,6.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
67,0.54761904,3554.24,5982.0,7.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
68,0.5029762,3592.477,5982.0,8.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
69,0.58928573,3617.8225,5982.0,9.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
70,0.4940476,3643.0151,5982.0,10.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
71,0.5416667,3699.5725,5982.0,11.0,7,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
72,0.5922619,3134.6597,6094.0,0.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
73,0.6279762,3168.5916,6094.0,1.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
74,0.6577381,3193.6465,6094.0,2.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
75,0.57738096,3219.9304,6094.0,3.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
76,0.5595238,3261.8665,6094.0,4.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
77,0.5297619,3299.2031,6094.0,5.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
78,0.53869045,3331.712,6094.0,6.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
79,0.5952381,3363.0684,6094.0,7.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
80,0.5208333,3390.8386,6094.0,8.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
81,0.5208333,3417.9753,6094.0,9.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
82,0.6369048,3446.68,6094.0,10.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
83,0.6666667,3476.1472,6094.0,11.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
