,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.6638889,5139.8403,6016.0,0.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
1,0.7277778,5173.794,6016.0,1.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
2,0.7777778,5224.978,6016.0,2.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
3,0.6638889,5248.9614,6016.0,3.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
4,0.73888886,5284.2266,6016.0,4.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
5,0.68333334,5340.3257,6016.0,5.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
6,0.63055557,5426.2817,6016.0,6.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
7,0.8527778,5458.9683,6016.0,7.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
8,0.5555556,5488.4707,6016.0,8.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
9,0.80277777,5530.854,6016.0,9.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
10,0.6888889,5562.813,6016.0,10.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
11,0.7083333,5590.5303,6016.0,11.0,2,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
