,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.55,6629.1743,6094.0,0.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
1,0.63611114,6691.7637,6094.0,1.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
2,0.6027778,6726.5063,6094.0,2.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
3,0.575,6758.2266,6094.0,3.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
4,0.5416667,6809.695,6094.0,4.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
5,0.5083333,6844.7515,6094.0,5.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
6,0.55833334,6902.4307,6094.0,6.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
7,0.5361111,6948.5093,6094.0,7.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
8,0.5138889,6989.2485,6094.0,8.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
9,0.5611111,7022.8765,6094.0,9.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
10,0.575,7063.8594,6094.0,10.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
11,0.65833336,7099.714,6094.0,11.0,8,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
12,0.51944447,4524.8613,5982.0,0.0,9,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
13,0.51944447,4562.01,5982.0,1.0,9,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
14,0.5138889,4600.3057,5982.0,2.0,9,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
15,0.5138889,4641.905,5982.0,3.0,9,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
16,0.5416667,4674.0923,5982.0,4.0,9,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
17,0.49444443,4707.3843,5982.0,5.0,9,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
18,0.54444444,4739.575,5982.0,6.0,9,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
19,0.5083333,4774.859,5982.0,7.0,9,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
20,0.53055555,4817.3237,5982.0,8.0,9,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
21,0.54444444,4845.4775,5982.0,9.0,9,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
22,0.4888889,4878.97,5982.0,10.0,9,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
23,0.55833334,4918.611,5982.0,11.0,9,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
24,0.87222224,4167.079,5982.0,0.0,10,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
25,0.90833336,4296.369,5982.0,1.0,10,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
26,0.90555555,4336.347,5982.0,2.0,10,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
27,0.70555556,4375.292,5982.0,3.0,10,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
28,0.8138889,4421.21,5982.0,4.0,10,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
29,0.8194444,4510.262,5982.0,5.0,10,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
30,0.89444447,4622.145,5982.0,6.0,10,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
31,0.82222223,4694.2104,5982.0,7.0,10,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
32,0.80833334,4735.022,5982.0,8.0,10,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
33,0.8888889,4826.8594,5982.0,9.0,10,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
34,0.78055555,4910.3716,5982.0,10.0,10,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
35,0.7361111,4943.306,5982.0,11.0,10,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
36,0.5138889,2769.343,5982.0,0.0,11,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
37,0.51111114,2789.1335,5982.0,1.0,11,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
38,0.51944447,2809.5615,5982.0,2.0,11,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
39,0.51944447,2829.9546,5982.0,3.0,11,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
40,0.49722221,2850.6133,5982.0,4.0,11,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
41,0.51111114,2870.8484,5982.0,5.0,11,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
42,0.4861111,2892.2874,5982.0,6.0,11,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
43,0.47777778,2919.0476,5982.0,7.0,11,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
44,0.49444443,2950.9927,5982.0,8.0,11,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
45,0.5611111,3011.54,5982.0,9.0,11,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
46,0.53333336,3030.9756,5982.0,10.0,11,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
47,0.5361111,3050.6892,5982.0,11.0,11,session_E,21,1,Schirrmeister2017,EEGNet|_Without_EA-Not_Frozen
