,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.6458333,278.19305,1420.0,0.0,0.2801402,1,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
1,0.39583334,278.19305,1420.0,1.0,0.251975,1,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
2,0.5416667,278.19305,1420.0,2.0,0.28198278,1,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
3,0.625,278.19305,1420.0,3.0,0.28341258,1,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
4,0.625,278.19305,1420.0,4.0,0.27086416,1,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
5,0.5625,278.19305,1420.0,5.0,0.26254693,1,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
6,0.5,278.19305,1420.0,6.0,0.27052367,1,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
7,0.45833334,278.19305,1420.0,7.0,0.27298158,1,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
8,0.5625,278.19305,1420.0,8.0,0.25102785,1,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
9,0.5625,268.26447,1420.0,0.0,0.316978,2,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
10,0.45833334,268.26447,1420.0,1.0,0.27119878,2,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
11,0.45833334,268.26447,1420.0,2.0,0.29044852,2,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
12,0.5833333,268.26447,1420.0,3.0,0.31414384,2,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
13,0.75,268.26447,1420.0,4.0,0.26704141,2,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
14,0.6875,268.26447,1420.0,5.0,0.2672971,2,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
15,0.5833333,268.26447,1420.0,6.0,0.22884405,2,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
16,0.5208333,268.26447,1420.0,7.0,0.19102229,2,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
17,0.5208333,268.26447,1420.0,8.0,0.31976932,2,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
18,0.6458333,273.49597,1420.0,0.0,0.277986,3,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
