,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.54,345.89304,1420.0,0.0,1,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
1,0.47,352.68643,1420.0,1.0,1,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
2,0.44,359.71118,1420.0,2.0,1,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
3,0.54,366.5816,1420.0,3.0,1,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
4,0.56,373.29306,1420.0,4.0,1,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
5,0.57,384.55215,1420.0,5.0,1,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
6,0.53,391.7464,1420.0,6.0,1,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
7,0.51,405.71548,1420.0,7.0,1,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
8,0.61,416.81644,1420.0,8.0,1,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
9,0.52,275.83026,1420.0,0.0,2,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
10,0.51,282.65375,1420.0,1.0,2,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
11,0.68,296.13617,1420.0,2.0,2,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
12,0.6,303.13702,1420.0,3.0,2,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
13,0.66,316.69522,1420.0,4.0,2,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
14,0.62,323.5311,1420.0,5.0,2,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
15,0.61,337.5296,1420.0,6.0,2,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
16,0.52,344.47595,1420.0,7.0,2,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
17,0.64,351.3892,1420.0,8.0,2,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
18,0.5,324.5411,1420.0,0.0,3,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
19,0.5,331.2333,1420.0,1.0,3,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
20,0.51,338.26694,1420.0,2.0,3,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
21,0.52,345.197,1420.0,3.0,3,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
22,0.57,352.07898,1420.0,4.0,3,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
23,0.59,358.82584,1420.0,5.0,3,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
24,0.52,365.56497,1420.0,6.0,3,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
25,0.56,372.2941,1420.0,7.0,3,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
26,0.57,379.19418,1420.0,8.0,3,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
27,0.5,257.65314,1420.0,0.0,4,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
28,0.53,270.92337,1420.0,1.0,4,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
29,0.46,281.58536,1420.0,2.0,4,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
30,0.5,294.43237,1420.0,3.0,4,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
31,0.48,308.1091,1420.0,4.0,4,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
32,0.52,321.39938,1420.0,5.0,4,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
33,0.52,331.65973,1420.0,6.0,4,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
34,0.47,344.04102,1420.0,7.0,4,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
35,0.55,357.93927,1420.0,8.0,4,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
36,0.49,248.2103,1420.0,0.0,5,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
37,0.49,262.29977,1420.0,1.0,5,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
38,0.53,269.12732,1420.0,2.0,5,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
39,0.52,282.2397,1420.0,3.0,5,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
40,0.54,289.6492,1420.0,4.0,5,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
41,0.52,303.11426,1420.0,5.0,5,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
42,0.51,310.5061,1420.0,6.0,5,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
43,0.62,321.05676,1420.0,7.0,5,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
44,0.5,329.25134,1420.0,8.0,5,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
45,0.62,429.0945,1440.0,0.0,6,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
46,0.74,443.5463,1440.0,1.0,6,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
47,0.72,457.54355,1440.0,2.0,6,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
48,0.67,471.36426,1440.0,3.0,6,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
49,0.71,485.39005,1440.0,4.0,6,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
50,0.82,493.32977,1440.0,5.0,6,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
51,0.79,507.50504,1440.0,6.0,6,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
52,0.78,521.3983,1440.0,7.0,6,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
53,0.64,535.39557,1440.0,8.0,6,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
54,0.78,266.93738,1420.0,0.0,7,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
55,0.72,281.57343,1420.0,1.0,7,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
56,0.82,295.7299,1420.0,2.0,7,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
57,0.7,309.75507,1420.0,3.0,7,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
58,0.69,323.28665,1420.0,4.0,7,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
59,0.81,337.19513,1420.0,5.0,7,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
60,0.76,351.72644,1420.0,6.0,7,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
61,0.66,366.72665,1420.0,7.0,7,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
62,0.82,381.22888,1420.0,8.0,7,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
63,0.62,265.48468,1420.0,0.0,8,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
64,0.49,272.19424,1420.0,1.0,8,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
65,0.53,282.23526,1420.0,2.0,8,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
66,0.58,298.31454,1420.0,3.0,8,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
67,0.41,307.62936,1420.0,4.0,8,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
68,0.78,320.95615,1420.0,5.0,8,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
69,0.82,335.55875,1420.0,6.0,8,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
70,0.52,342.36832,1420.0,7.0,8,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
71,0.56,356.7124,1420.0,8.0,8,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
72,0.52,268.40073,1420.0,0.0,9,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
73,0.5,275.8276,1420.0,1.0,9,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
74,0.58,289.26608,1420.0,2.0,9,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
75,0.43,296.09558,1420.0,3.0,9,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
76,0.47,302.90445,1420.0,4.0,9,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
77,0.61,316.49338,1420.0,5.0,9,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
78,0.71,323.2572,1420.0,6.0,9,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
79,0.47,330.06488,1420.0,7.0,9,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
80,0.57,344.369,1420.0,8.0,9,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
81,0.55,289.02707,1420.0,0.0,10,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
82,0.6,302.81546,1420.0,1.0,10,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
83,0.51,311.94583,1420.0,2.0,10,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
84,0.54,326.7469,1420.0,3.0,10,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
85,0.6,341.07828,1420.0,4.0,10,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
86,0.51,347.98987,1420.0,5.0,10,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
87,0.53,358.7805,1420.0,6.0,10,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
88,0.49,375.74118,1420.0,7.0,10,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
89,0.68,389.53177,1420.0,8.0,10,both,60,1,Weibo2014,AttentionBaseNet|_EA-Frozen
