,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.54,367.35336,1420.0,0.0,1,both,21,1,Weibo2014,AttentionBaseNet|_EA-Frozen
1,0.57,367.35336,1420.0,1.0,1,both,21,1,Weibo2014,AttentionBaseNet|_EA-Frozen
2,0.51,367.35336,1420.0,2.0,1,both,21,1,Weibo2014,AttentionBaseNet|_EA-Frozen
3,0.54,367.35336,1420.0,3.0,1,both,21,1,Weibo2014,AttentionBaseNet|_EA-Frozen
4,0.56,367.35336,1420.0,4.0,1,both,21,1,Weibo2014,AttentionBaseNet|_EA-Frozen
5,0.64,367.35336,1420.0,5.0,1,both,21,1,Weibo2014,AttentionBaseNet|_EA-Frozen
6,0.58,367.35336,1420.0,6.0,1,both,21,1,Weibo2014,AttentionBaseNet|_EA-Frozen
7,0.54,367.35336,1420.0,7.0,1,both,21,1,Weibo2014,AttentionBaseNet|_EA-Frozen
8,0.51,367.35336,1420.0,8.0,1,both,21,1,Weibo2014,AttentionBaseNet|_EA-Frozen
9,0.74,187.3203,1420.0,0.0,2,both,21,1,Weibo2014,AttentionBaseNet|_EA-Frozen
10,0.69,187.3203,1420.0,1.0,2,both,21,1,Weibo2014,AttentionBaseNet|_EA-Frozen
11,0.53,187.3203,1420.0,2.0,2,both,21,1,Weibo2014,AttentionBaseNet|_EA-Frozen
12,0.74,187.3203,1420.0,3.0,2,both,21,1,Weibo2014,AttentionBaseNet|_EA-Frozen
13,0.66,187.3203,1420.0,4.0,2,both,21,1,Weibo2014,AttentionBaseNet|_EA-Frozen
14,0.77,187.3203,1420.0,5.0,2,both,21,1,Weibo2014,AttentionBaseNet|_EA-Frozen
15,0.79,187.3203,1420.0,6.0,2,both,21,1,Weibo2014,AttentionBaseNet|_EA-Frozen
16,0.65,187.3203,1420.0,7.0,2,both,21,1,Weibo2014,AttentionBaseNet|_EA-Frozen
17,0.53,187.3203,1420.0,8.0,2,both,21,1,Weibo2014,AttentionBaseNet|_EA-Frozen
18,0.6,255.63158,1420.0,0.0,3,both,21,1,Weibo2014,AttentionBaseNet|_EA-Frozen
