,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.5833333,68.38305,1420.0,1,both,21,1,Weibo2014,EEGNetv4_EA
1,0.875,88.43763,1420.0,2,both,21,1,Weibo2014,EEGNetv4_EA
2,0.64166665,68.60393,1420.0,3,both,21,1,Weibo2014,EEGNetv4_EA
3,0.475,86.31921,1420.0,4,both,21,1,Weibo2014,EEGNetv4_EA
4,0.5083333,65.415405,1420.0,5,both,21,1,Weibo2014,EEGNetv4_EA
5,0.85,71.94702,1440.0,6,both,21,1,Weibo2014,EEGNetv4_EA
6,0.80833334,68.90786,1420.0,7,both,21,1,Weibo2014,EEGNetv4_EA
7,0.84166664,69.52622,1420.0,8,both,21,1,Weibo2014,EEGNetv4_EA
8,0.76666665,71.02183,1420.0,9,both,21,1,Weibo2014,EEGNetv4_EA
9,0.64166665,63.629723,1420.0,10,both,21,1,Weibo2014,EEGNetv4_EA
