,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.6,27.04071,1420.0,1,both,21,1,Weibo2014,EEGNetv4_EA
1,0.93333334,31.029175,1420.0,2,both,21,1,Weibo2014,EEGNetv4_EA
2,0.575,19.056795,1420.0,3,both,21,1,Weibo2014,EEGNetv4_EA
3,0.49166667,22.146368,1420.0,4,both,21,1,Weibo2014,EEGNetv4_EA
4,0.5,16.5216,1420.0,5,both,21,1,Weibo2014,EEGNetv4_EA
5,0.81,24.54903,1440.0,6,both,21,1,Weibo2014,EEGNetv4_EA
6,0.8,22.533062,1420.0,7,both,21,1,Weibo2014,EEGNetv4_EA
7,0.89166665,16.44113,1420.0,8,both,21,1,Weibo2014,EEGNetv4_EA
8,0.73333335,25.422865,1420.0,9,both,21,1,Weibo2014,EEGNetv4_EA
9,0.5833333,21.755865,1420.0,10,both,21,1,Weibo2014,EEGNetv4_EA
