,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.6041667,49.94256,1420.0,0.0,0.29253793,1,both,21,1,Weibo2014,CTNet|_EA-Frozen
1,0.47916666,49.94256,1420.0,1.0,0.30409548,1,both,21,1,Weibo2014,CTNet|_EA-Frozen
2,0.5,49.94256,1420.0,2.0,0.27848256,1,both,21,1,Weibo2014,CTNet|_EA-Frozen
3,0.5625,49.94256,1420.0,3.0,0.28486127,1,both,21,1,Weibo2014,CTNet|_EA-Frozen
4,0.5208333,49.94256,1420.0,4.0,0.30195463,1,both,21,1,Weibo2014,CTNet|_EA-Frozen
5,0.5208333,49.94256,1420.0,5.0,0.33791527,1,both,21,1,Weibo2014,CTNet|_EA-Frozen
6,0.47916666,49.94256,1420.0,6.0,0.27642128,1,both,21,1,Weibo2014,CTNet|_EA-Frozen
7,0.5,49.94256,1420.0,7.0,0.3079941,1,both,21,1,Weibo2014,CTNet|_EA-Frozen
8,0.6458333,49.94256,1420.0,8.0,0.30698466,1,both,21,1,Weibo2014,CTNet|_EA-Frozen
9,0.5625,44.341675,1420.0,0.0,0.2560872,2,both,21,1,Weibo2014,CTNet|_EA-Frozen
10,0.47916666,44.341675,1420.0,1.0,0.3000063,2,both,21,1,Weibo2014,CTNet|_EA-Frozen
11,0.5208333,44.341675,1420.0,2.0,0.29110238,2,both,21,1,Weibo2014,CTNet|_EA-Frozen
12,0.45833334,44.341675,1420.0,3.0,0.23201598,2,both,21,1,Weibo2014,CTNet|_EA-Frozen
13,0.5833333,44.341675,1420.0,4.0,0.264074,2,both,21,1,Weibo2014,CTNet|_EA-Frozen
14,0.6666667,44.341675,1420.0,5.0,0.2970721,2,both,21,1,Weibo2014,CTNet|_EA-Frozen
15,0.47916666,44.341675,1420.0,6.0,0.26617286,2,both,21,1,Weibo2014,CTNet|_EA-Frozen
16,0.5208333,44.341675,1420.0,7.0,0.22890148,2,both,21,1,Weibo2014,CTNet|_EA-Frozen
17,0.41666666,44.341675,1420.0,8.0,0.2806883,2,both,21,1,Weibo2014,CTNet|_EA-Frozen
18,0.5833333,43.13408,1420.0,0.0,0.3307362,3,both,21,1,Weibo2014,CTNet|_EA-Frozen
19,0.625,43.13408,1420.0,1.0,0.3075832,3,both,21,1,Weibo2014,CTNet|_EA-Frozen
20,0.6041667,43.13408,1420.0,2.0,0.25903946,3,both,21,1,Weibo2014,CTNet|_EA-Frozen
21,0.5208333,43.13408,1420.0,3.0,0.30810422,3,both,21,1,Weibo2014,CTNet|_EA-Frozen
22,0.47916666,43.13408,1420.0,4.0,0.25884137,3,both,21,1,Weibo2014,CTNet|_EA-Frozen
23,0.6041667,43.13408,1420.0,5.0,0.279864,3,both,21,1,Weibo2014,CTNet|_EA-Frozen
24,0.5,43.13408,1420.0,6.0,0.29245615,3,both,21,1,Weibo2014,CTNet|_EA-Frozen
25,0.5208333,43.13408,1420.0,7.0,0.3144324,3,both,21,1,Weibo2014,CTNet|_EA-Frozen
26,0.35416666,43.13408,1420.0,8.0,0.27104142,3,both,21,1,Weibo2014,CTNet|_EA-Frozen
27,0.5416667,31.10194,1420.0,0.0,0.26056546,4,both,21,1,Weibo2014,CTNet|_EA-Frozen
28,0.45833334,31.10194,1420.0,1.0,0.40351015,4,both,21,1,Weibo2014,CTNet|_EA-Frozen
29,0.4375,31.10194,1420.0,2.0,0.28562656,4,both,21,1,Weibo2014,CTNet|_EA-Frozen
30,0.5416667,31.10194,1420.0,3.0,0.28279683,4,both,21,1,Weibo2014,CTNet|_EA-Frozen
31,0.5416667,31.10194,1420.0,4.0,0.25851128,4,both,21,1,Weibo2014,CTNet|_EA-Frozen
32,0.5208333,31.10194,1420.0,5.0,0.33411348,4,both,21,1,Weibo2014,CTNet|_EA-Frozen
33,0.5416667,31.10194,1420.0,6.0,0.29276606,4,both,21,1,Weibo2014,CTNet|_EA-Frozen
34,0.5416667,31.10194,1420.0,7.0,0.3398096,4,both,21,1,Weibo2014,CTNet|_EA-Frozen
35,0.5416667,31.10194,1420.0,8.0,0.30248943,4,both,21,1,Weibo2014,CTNet|_EA-Frozen
36,0.47916666,27.108416,1420.0,0.0,0.2606869,5,both,21,1,Weibo2014,CTNet|_EA-Frozen
37,0.5208333,27.108416,1420.0,1.0,0.29624,5,both,21,1,Weibo2014,CTNet|_EA-Frozen
38,0.5208333,27.108416,1420.0,2.0,0.29103833,5,both,21,1,Weibo2014,CTNet|_EA-Frozen
39,0.5416667,27.108416,1420.0,3.0,0.2629231,5,both,21,1,Weibo2014,CTNet|_EA-Frozen
40,0.47916666,27.108416,1420.0,4.0,0.2581697,5,both,21,1,Weibo2014,CTNet|_EA-Frozen
41,0.5,27.108416,1420.0,5.0,0.3280442,5,both,21,1,Weibo2014,CTNet|_EA-Frozen
42,0.47916666,27.108416,1420.0,6.0,0.2987059,5,both,21,1,Weibo2014,CTNet|_EA-Frozen
43,0.5208333,27.108416,1420.0,7.0,0.27279142,5,both,21,1,Weibo2014,CTNet|_EA-Frozen
44,0.5625,27.108416,1420.0,8.0,0.28613707,5,both,21,1,Weibo2014,CTNet|_EA-Frozen
