,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.59,63.140476,1420.0,0.0,1,both,21,1,Weibo2014,CTNet|_EA-Frozen
1,0.47,69.37923,1420.0,1.0,1,both,21,1,Weibo2014,CTNet|_EA-Frozen
2,0.46,75.75411,1420.0,2.0,1,both,21,1,Weibo2014,CTNet|_EA-Frozen
3,0.41,81.34967,1420.0,3.0,1,both,21,1,Weibo2014,CTNet|_EA-Frozen
4,0.52,87.356865,1420.0,4.0,1,both,21,1,Weibo2014,CTNet|_EA-Frozen
5,0.54,93.43237,1420.0,5.0,1,both,21,1,Weibo2014,CTNet|_EA-Frozen
6,0.55,99.29272,1420.0,6.0,1,both,21,1,Weibo2014,CTNet|_EA-Frozen
7,0.46,104.67758,1420.0,7.0,1,both,21,1,Weibo2014,CTNet|_EA-Frozen
8,0.52,110.19187,1420.0,8.0,1,both,21,1,Weibo2014,CTNet|_EA-Frozen
9,0.54,45.83992,1420.0,0.0,2,both,21,1,Weibo2014,CTNet|_EA-Frozen
10,0.5,51.476597,1420.0,1.0,2,both,21,1,Weibo2014,CTNet|_EA-Frozen
11,0.43,57.931362,1420.0,2.0,2,both,21,1,Weibo2014,CTNet|_EA-Frozen
12,0.48,65.99256,1420.0,3.0,2,both,21,1,Weibo2014,CTNet|_EA-Frozen
13,0.45,72.231766,1420.0,4.0,2,both,21,1,Weibo2014,CTNet|_EA-Frozen
14,0.58,77.991394,1420.0,5.0,2,both,21,1,Weibo2014,CTNet|_EA-Frozen
15,0.51,83.630035,1420.0,6.0,2,both,21,1,Weibo2014,CTNet|_EA-Frozen
16,0.5,89.08758,1420.0,7.0,2,both,21,1,Weibo2014,CTNet|_EA-Frozen
17,0.52,99.235016,1420.0,8.0,2,both,21,1,Weibo2014,CTNet|_EA-Frozen
18,0.52,55.29931,1420.0,0.0,3,both,21,1,Weibo2014,CTNet|_EA-Frozen
19,0.51,61.51468,1420.0,1.0,3,both,21,1,Weibo2014,CTNet|_EA-Frozen
20,0.51,66.86887,1420.0,2.0,3,both,21,1,Weibo2014,CTNet|_EA-Frozen
21,0.45,72.28578,1420.0,3.0,3,both,21,1,Weibo2014,CTNet|_EA-Frozen
22,0.59,78.19528,1420.0,4.0,3,both,21,1,Weibo2014,CTNet|_EA-Frozen
23,0.52,85.07041,1420.0,5.0,3,both,21,1,Weibo2014,CTNet|_EA-Frozen
24,0.54,90.6573,1420.0,6.0,3,both,21,1,Weibo2014,CTNet|_EA-Frozen
25,0.4,96.369736,1420.0,7.0,3,both,21,1,Weibo2014,CTNet|_EA-Frozen
26,0.56,102.15445,1420.0,8.0,3,both,21,1,Weibo2014,CTNet|_EA-Frozen
27,0.48,31.289976,1420.0,0.0,4,both,21,1,Weibo2014,CTNet|_EA-Frozen
28,0.41,36.835464,1420.0,1.0,4,both,21,1,Weibo2014,CTNet|_EA-Frozen
29,0.48,42.41071,1420.0,2.0,4,both,21,1,Weibo2014,CTNet|_EA-Frozen
30,0.5,48.052406,1420.0,3.0,4,both,21,1,Weibo2014,CTNet|_EA-Frozen
31,0.5,53.291023,1420.0,4.0,4,both,21,1,Weibo2014,CTNet|_EA-Frozen
32,0.47,68.63904,1420.0,5.0,4,both,21,1,Weibo2014,CTNet|_EA-Frozen
33,0.5,73.40235,1420.0,6.0,4,both,21,1,Weibo2014,CTNet|_EA-Frozen
34,0.45,81.121056,1420.0,7.0,4,both,21,1,Weibo2014,CTNet|_EA-Frozen
35,0.49,89.453064,1420.0,8.0,4,both,21,1,Weibo2014,CTNet|_EA-Frozen
36,0.53,33.73129,1420.0,0.0,5,both,21,1,Weibo2014,CTNet|_EA-Frozen
37,0.59,41.903435,1420.0,1.0,5,both,21,1,Weibo2014,CTNet|_EA-Frozen
38,0.61,62.418285,1420.0,2.0,5,both,21,1,Weibo2014,CTNet|_EA-Frozen
39,0.41,67.9082,1420.0,3.0,5,both,21,1,Weibo2014,CTNet|_EA-Frozen
40,0.51,72.94117,1420.0,4.0,5,both,21,1,Weibo2014,CTNet|_EA-Frozen
41,0.48,77.781975,1420.0,5.0,5,both,21,1,Weibo2014,CTNet|_EA-Frozen
42,0.5,83.46807,1420.0,6.0,5,both,21,1,Weibo2014,CTNet|_EA-Frozen
43,0.53,88.475685,1420.0,7.0,5,both,21,1,Weibo2014,CTNet|_EA-Frozen
44,0.54,98.88135,1420.0,8.0,5,both,21,1,Weibo2014,CTNet|_EA-Frozen
45,0.57,57.36466,1440.0,0.0,6,both,21,1,Weibo2014,CTNet|_EA-Frozen
46,0.89,75.31891,1440.0,1.0,6,both,21,1,Weibo2014,CTNet|_EA-Frozen
47,0.73,92.97641,1440.0,2.0,6,both,21,1,Weibo2014,CTNet|_EA-Frozen
48,0.66,110.99749,1440.0,3.0,6,both,21,1,Weibo2014,CTNet|_EA-Frozen
49,0.75,139.87091,1440.0,4.0,6,both,21,1,Weibo2014,CTNet|_EA-Frozen
50,0.77,145.74532,1440.0,5.0,6,both,21,1,Weibo2014,CTNet|_EA-Frozen
51,0.85,181.25584,1440.0,6.0,6,both,21,1,Weibo2014,CTNet|_EA-Frozen
52,0.74,186.52368,1440.0,7.0,6,both,21,1,Weibo2014,CTNet|_EA-Frozen
53,0.89,217.6534,1440.0,8.0,6,both,21,1,Weibo2014,CTNet|_EA-Frozen
54,0.54,43.50504,1420.0,0.0,7,both,21,1,Weibo2014,CTNet|_EA-Frozen
55,0.57,48.703083,1420.0,1.0,7,both,21,1,Weibo2014,CTNet|_EA-Frozen
56,0.77,65.267944,1420.0,2.0,7,both,21,1,Weibo2014,CTNet|_EA-Frozen
57,0.52,71.12806,1420.0,3.0,7,both,21,1,Weibo2014,CTNet|_EA-Frozen
58,0.52,76.30532,1420.0,4.0,7,both,21,1,Weibo2014,CTNet|_EA-Frozen
59,0.82,93.199425,1420.0,5.0,7,both,21,1,Weibo2014,CTNet|_EA-Frozen
60,0.7,104.12149,1420.0,6.0,7,both,21,1,Weibo2014,CTNet|_EA-Frozen
61,0.82,123.854965,1420.0,7.0,7,both,21,1,Weibo2014,CTNet|_EA-Frozen
62,0.67,134.02255,1420.0,8.0,7,both,21,1,Weibo2014,CTNet|_EA-Frozen
63,0.68,74.30972,1420.0,0.0,8,both,21,1,Weibo2014,CTNet|_EA-Frozen
64,0.7,88.66898,1420.0,1.0,8,both,21,1,Weibo2014,CTNet|_EA-Frozen
65,0.53,94.27994,1420.0,2.0,8,both,21,1,Weibo2014,CTNet|_EA-Frozen
66,0.48,99.57934,1420.0,3.0,8,both,21,1,Weibo2014,CTNet|_EA-Frozen
67,0.59,104.62647,1420.0,4.0,8,both,21,1,Weibo2014,CTNet|_EA-Frozen
68,0.55,112.60775,1420.0,5.0,8,both,21,1,Weibo2014,CTNet|_EA-Frozen
69,0.7,130.22337,1420.0,6.0,8,both,21,1,Weibo2014,CTNet|_EA-Frozen
70,0.66,145.10957,1420.0,7.0,8,both,21,1,Weibo2014,CTNet|_EA-Frozen
71,0.5,149.6906,1420.0,8.0,8,both,21,1,Weibo2014,CTNet|_EA-Frozen
72,0.55,58.751198,1420.0,0.0,9,both,21,1,Weibo2014,CTNet|_EA-Frozen
73,0.62,65.178955,1420.0,1.0,9,both,21,1,Weibo2014,CTNet|_EA-Frozen
74,0.65,77.19224,1420.0,2.0,9,both,21,1,Weibo2014,CTNet|_EA-Frozen
75,0.58,82.22661,1420.0,3.0,9,both,21,1,Weibo2014,CTNet|_EA-Frozen
76,0.47,88.1995,1420.0,4.0,9,both,21,1,Weibo2014,CTNet|_EA-Frozen
77,0.56,93.269936,1420.0,5.0,9,both,21,1,Weibo2014,CTNet|_EA-Frozen
78,0.73,101.16092,1420.0,6.0,9,both,21,1,Weibo2014,CTNet|_EA-Frozen
79,0.66,109.45664,1420.0,7.0,9,both,21,1,Weibo2014,CTNet|_EA-Frozen
80,0.65,129.19229,1420.0,8.0,9,both,21,1,Weibo2014,CTNet|_EA-Frozen
81,0.57,66.26144,1420.0,0.0,10,both,21,1,Weibo2014,CTNet|_EA-Frozen
82,0.44,71.06153,1420.0,1.0,10,both,21,1,Weibo2014,CTNet|_EA-Frozen
83,0.55,76.35428,1420.0,2.0,10,both,21,1,Weibo2014,CTNet|_EA-Frozen
84,0.5,90.36673,1420.0,3.0,10,both,21,1,Weibo2014,CTNet|_EA-Frozen
85,0.52,110.4948,1420.0,4.0,10,both,21,1,Weibo2014,CTNet|_EA-Frozen
86,0.49,115.19657,1420.0,5.0,10,both,21,1,Weibo2014,CTNet|_EA-Frozen
87,0.52,125.36679,1420.0,6.0,10,both,21,1,Weibo2014,CTNet|_EA-Frozen
88,0.56,136.15274,1420.0,7.0,10,both,21,1,Weibo2014,CTNet|_EA-Frozen
89,0.53,141.26204,1420.0,8.0,10,both,21,1,Weibo2014,CTNet|_EA-Frozen
