,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.5416667,113.92412,1420.0,1,both,21,1,Weibo2014,EEGNetv4_EA
1,0.875,116.26028,1420.0,2,both,21,1,Weibo2014,EEGNetv4_EA
2,0.65833336,98.62249,1420.0,3,both,21,1,Weibo2014,EEGNetv4_EA
3,0.44166666,120.25263,1420.0,4,both,21,1,Weibo2014,EEGNetv4_EA
4,0.5083333,125.933464,1420.0,5,both,21,1,Weibo2014,EEGNetv4_EA
5,0.91,139.18773,1440.0,6,both,21,1,Weibo2014,EEGNetv4_EA
6,0.84166664,141.88707,1420.0,7,both,21,1,Weibo2014,EEGNetv4_EA
7,0.8333333,134.44658,1420.0,8,both,21,1,Weibo2014,EEGNetv4_EA
8,0.69166666,137.80128,1420.0,9,both,21,1,Weibo2014,EEGNetv4_EA
9,0.59166664,121.36372,1420.0,10,both,21,1,Weibo2014,EEGNetv4_EA
