,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.5833333,231.52681,1420.0,1,both,21,1,Weibo2014,EEGNetv4_EA
1,0.8666667,258.08612,1420.0,2,both,21,1,Weibo2014,EEGNetv4_EA
2,0.65833336,302.11047,1420.0,3,both,21,1,Weibo2014,EEGNetv4_EA
3,0.46666667,259.80392,1420.0,4,both,21,1,Weibo2014,EEGNetv4_EA
4,0.5083333,278.042,1420.0,5,both,21,1,Weibo2014,EEGNetv4_EA
5,0.92,250.95537,1440.0,6,both,21,1,Weibo2014,EEGNetv4_EA
6,0.89166665,279.7616,1420.0,7,both,21,1,Weibo2014,EEGNetv4_EA
7,0.85,261.51053,1420.0,8,both,21,1,Weibo2014,EEGNetv4_EA
8,0.825,256.24463,1420.0,9,both,21,1,Weibo2014,EEGNetv4_EA
9,0.65,263.77603,1420.0,10,both,21,1,Weibo2014,EEGNetv4_EA
