,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.75,381.35037,1420.0,0.0,0.44459423,1,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
1,0.5,381.35037,1420.0,1.0,0.44997826,1,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
2,0.45833334,381.35037,1420.0,2.0,0.37719777,1,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
3,0.5416667,381.35037,1420.0,3.0,0.4068545,1,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
4,0.5,381.35037,1420.0,4.0,0.37545362,1,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
5,0.625,381.35037,1420.0,5.0,0.42786908,1,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
6,0.625,381.35037,1420.0,6.0,0.37961265,1,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
7,0.5833333,381.35037,1420.0,7.0,0.4367029,1,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
8,0.6666667,381.35037,1420.0,8.0,0.40607837,1,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
9,0.7083333,369.3289,1420.0,0.0,0.40239197,2,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
10,0.6666667,369.3289,1420.0,1.0,0.55950415,2,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
11,0.45833334,369.3289,1420.0,2.0,0.4824751,2,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
12,0.5,369.3289,1420.0,3.0,0.44760713,2,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
13,0.7083333,369.3289,1420.0,4.0,0.547595,2,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
14,0.7083333,369.3289,1420.0,5.0,0.38962564,2,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
15,0.625,369.3289,1420.0,6.0,0.45314267,2,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
16,0.9166667,369.3289,1420.0,7.0,0.38307646,2,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
17,0.5416667,369.3289,1420.0,8.0,0.42653838,2,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
18,0.5,374.84467,1420.0,0.0,0.3477692,3,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
19,0.6666667,374.84467,1420.0,1.0,0.3678553,3,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
20,0.41666666,374.84467,1420.0,2.0,0.41019025,3,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
21,0.5833333,374.84467,1420.0,3.0,0.34807438,3,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
22,0.5,374.84467,1420.0,4.0,0.38098735,3,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
23,0.41666666,374.84467,1420.0,5.0,0.32215586,3,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
24,0.5,374.84467,1420.0,6.0,0.42698762,3,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
25,0.7083333,374.84467,1420.0,7.0,0.38135478,3,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
26,0.5,374.84467,1420.0,8.0,0.3904053,3,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
27,0.45833334,377.06943,1420.0,0.0,0.35584757,4,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
28,0.5416667,377.06943,1420.0,1.0,0.45796534,4,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
29,0.5416667,377.06943,1420.0,2.0,0.41055396,4,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
30,0.45833334,377.06943,1420.0,3.0,0.36985448,4,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
31,0.41666666,377.06943,1420.0,4.0,0.36938107,4,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
32,0.5,377.06943,1420.0,5.0,0.39638802,4,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
33,0.625,377.06943,1420.0,6.0,0.37497705,4,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
34,0.41666666,377.06943,1420.0,7.0,0.41287217,4,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
35,0.45833334,377.06943,1420.0,8.0,0.39245883,4,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
36,0.5416667,383.3543,1420.0,0.0,0.37764433,5,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
37,0.75,383.3543,1420.0,1.0,0.42154324,5,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
38,0.5,383.3543,1420.0,2.0,0.42336056,5,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
39,0.45833334,383.3543,1420.0,3.0,0.32393315,5,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
40,0.75,383.3543,1420.0,4.0,0.5580426,5,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
41,0.6666667,383.3543,1420.0,5.0,0.37544718,5,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
42,0.875,383.3543,1420.0,6.0,0.6101496,5,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
43,0.6666667,383.3543,1420.0,7.0,0.51995015,5,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
44,0.5416667,383.3543,1420.0,8.0,0.36572805,5,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
45,0.5833333,350.23288,1440.0,0.0,0.5236842,6,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
46,0.5416667,350.23288,1440.0,1.0,0.652748,6,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
47,0.7083333,350.23288,1440.0,2.0,0.5310676,6,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
48,0.5416667,350.23288,1440.0,3.0,0.42658383,6,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
49,0.75,350.23288,1440.0,4.0,0.73850614,6,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
50,0.75,350.23288,1440.0,5.0,0.6092081,6,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
51,0.7916667,350.23288,1440.0,6.0,0.6680753,6,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
52,0.875,350.23288,1440.0,7.0,0.81957453,6,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
53,0.5833333,350.23288,1440.0,8.0,0.6105154,6,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
54,0.75,366.5388,1420.0,0.0,0.69137263,7,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
55,0.9583333,366.5388,1420.0,1.0,0.77788407,7,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
56,0.75,366.5388,1420.0,2.0,0.9439778,7,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
57,0.5,366.5388,1420.0,3.0,0.72074467,7,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
58,0.5833333,366.5388,1420.0,4.0,0.7632455,7,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
59,0.9166667,366.5388,1420.0,5.0,0.991347,7,session_E,21,1,Weibo 2014,EEGNet|_EA-Frozen
