,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.71,137.63087,1420.0,0.0,1,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
1,0.46,142.94695,1420.0,1.0,1,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
2,0.43,152.12845,1420.0,2.0,1,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
3,0.52,156.59734,1420.0,3.0,1,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
4,0.64,165.21025,1420.0,4.0,1,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
5,0.53,170.08647,1420.0,5.0,1,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
6,0.71,180.63632,1420.0,6.0,1,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
7,0.72,191.48569,1420.0,7.0,1,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
8,0.5,196.34242,1420.0,8.0,1,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
9,0.76,148.88394,1420.0,0.0,2,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
10,0.74,162.2336,1420.0,1.0,2,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
11,0.62,177.48749,1420.0,2.0,2,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
12,0.87,190.80507,1420.0,3.0,2,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
13,0.93,203.54459,1420.0,4.0,2,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
14,0.85,216.56497,1420.0,5.0,2,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
15,0.8,228.53227,1420.0,6.0,2,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
16,0.95,241.49367,1420.0,7.0,2,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
17,0.8,256.90646,1420.0,8.0,2,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
18,0.5,153.66052,1420.0,0.0,3,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
19,0.55,159.97212,1420.0,1.0,3,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
20,0.39,166.38423,1420.0,2.0,3,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
21,0.51,181.14334,1420.0,3.0,3,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
22,0.65,187.0429,1420.0,4.0,3,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
23,0.64,192.81592,1420.0,5.0,3,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
24,0.55,198.11292,1420.0,6.0,3,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
25,0.64,203.19368,1420.0,7.0,3,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
26,0.51,208.3261,1420.0,8.0,3,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
27,0.57,130.08559,1420.0,0.0,4,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
28,0.6,140.08345,1420.0,1.0,4,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
29,0.54,146.80458,1420.0,2.0,4,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
30,0.44,158.54465,1420.0,3.0,4,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
31,0.6,168.86412,1420.0,4.0,4,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
32,0.5,174.98961,1420.0,5.0,4,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
33,0.51,185.06921,1420.0,6.0,4,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
34,0.49,191.8975,1420.0,7.0,4,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
35,0.5,201.43219,1420.0,8.0,4,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
36,0.51,138.966,1420.0,0.0,5,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
37,0.75,151.0817,1420.0,1.0,5,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
38,0.65,158.78806,1420.0,2.0,5,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
39,0.59,171.87244,1420.0,3.0,5,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
40,0.66,186.974,1420.0,4.0,5,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
41,0.65,201.28464,1420.0,5.0,5,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
42,0.67,215.99149,1420.0,6.0,5,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
43,0.74,230.41655,1420.0,7.0,5,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
44,0.67,245.87717,1420.0,8.0,5,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
45,0.87,139.02585,1440.0,0.0,6,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
46,0.9,151.97118,1440.0,1.0,6,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
47,0.81,165.00395,1440.0,2.0,6,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
48,0.87,180.25853,1440.0,3.0,6,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
49,0.79,186.9798,1440.0,4.0,6,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
50,0.93,201.22571,1440.0,5.0,6,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
51,0.93,214.57047,1440.0,6.0,6,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
52,0.93,222.86966,1440.0,7.0,6,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
53,0.88,237.39624,1440.0,8.0,6,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
54,0.9,158.98442,1420.0,0.0,7,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
55,0.87,167.61743,1420.0,1.0,7,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
56,0.89,178.11621,1420.0,2.0,7,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
57,0.9,193.06834,1420.0,3.0,7,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
58,0.94,206.78029,1420.0,4.0,7,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
59,0.93,216.91405,1420.0,5.0,7,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
60,0.8,224.22751,1420.0,6.0,7,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
61,0.86,231.4173,1420.0,7.0,7,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
62,0.94,246.41217,1420.0,8.0,7,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
63,0.91,155.45837,1420.0,0.0,8,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
64,0.96,168.84576,1420.0,1.0,8,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
65,0.94,181.56563,1420.0,2.0,8,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
66,0.9,196.22787,1420.0,3.0,8,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
67,0.94,209.47708,1420.0,4.0,8,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
68,0.96,224.01584,1420.0,5.0,8,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
69,0.95,240.01363,1420.0,6.0,8,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
70,0.82,246.68987,1420.0,7.0,8,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
71,0.88,263.85095,1420.0,8.0,8,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
72,0.63,159.19847,1420.0,0.0,9,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
73,0.74,167.26729,1420.0,1.0,9,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
74,0.65,177.01183,1420.0,2.0,9,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
75,0.76,188.89224,1420.0,3.0,9,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
76,0.68,199.1211,1420.0,4.0,9,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
77,0.93,206.02644,1420.0,5.0,9,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
78,0.82,214.4164,1420.0,6.0,9,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
79,0.7,221.06607,1420.0,7.0,9,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
80,0.66,231.98705,1420.0,8.0,9,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
81,0.52,144.48941,1420.0,0.0,10,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
82,0.61,155.51323,1420.0,1.0,10,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
83,0.57,165.47249,1420.0,2.0,10,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
84,0.46,171.42447,1420.0,3.0,10,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
85,0.55,177.09096,1420.0,4.0,10,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
86,0.56,182.97568,1420.0,5.0,10,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
87,0.52,188.6318,1420.0,6.0,10,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
88,0.66,198.35873,1420.0,7.0,10,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
89,0.6,204.94334,1420.0,8.0,10,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
