,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.6086956,146.99466,1420.0,0.0,1,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
1,0.48913044,146.99466,1420.0,1.0,1,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
2,0.42391303,146.99466,1420.0,2.0,1,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
3,0.51086956,146.99466,1420.0,3.0,1,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
4,0.5,146.99466,1420.0,4.0,1,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
5,0.48913044,146.99466,1420.0,5.0,1,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
6,0.51086956,146.99466,1420.0,6.0,1,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
7,0.48913044,146.99466,1420.0,7.0,1,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
8,0.51086956,146.99466,1420.0,8.0,1,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
9,0.6086956,147.89354,1420.0,0.0,2,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
10,0.48913044,147.89354,1420.0,1.0,2,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
11,0.51086956,147.89354,1420.0,2.0,2,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
12,0.51086956,147.89354,1420.0,3.0,2,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
13,0.5217391,147.89354,1420.0,4.0,2,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
14,0.48913044,147.89354,1420.0,5.0,2,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
15,0.57608694,147.89354,1420.0,6.0,2,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
16,0.48913044,147.89354,1420.0,7.0,2,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
17,0.51086956,147.89354,1420.0,8.0,2,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
18,0.5,197.27097,1420.0,0.0,3,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
19,0.51086956,197.27097,1420.0,1.0,3,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
20,0.5,197.27097,1420.0,2.0,3,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
21,0.5,197.27097,1420.0,3.0,3,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
22,0.6195652,197.27097,1420.0,4.0,3,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
23,0.47826087,197.27097,1420.0,5.0,3,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
24,0.5,197.27097,1420.0,6.0,3,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
25,0.5,197.27097,1420.0,7.0,3,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
26,0.5,197.27097,1420.0,8.0,3,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
27,0.5,175.94962,1420.0,0.0,4,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
28,0.5217391,175.94962,1420.0,1.0,4,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
29,0.47826087,175.94962,1420.0,2.0,4,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
30,0.5217391,175.94962,1420.0,3.0,4,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
31,0.48913044,175.94962,1420.0,4.0,4,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
32,0.47826087,175.94962,1420.0,5.0,4,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
33,0.48913044,175.94962,1420.0,6.0,4,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
34,0.47826087,175.94962,1420.0,7.0,4,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
35,0.5217391,175.94962,1420.0,8.0,4,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
36,0.48913044,168.40816,1420.0,0.0,5,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
37,0.5,168.40816,1420.0,1.0,5,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
38,0.51086956,168.40816,1420.0,2.0,5,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
39,0.48913044,168.40816,1420.0,3.0,5,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
40,0.51086956,168.40816,1420.0,4.0,5,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
41,0.51086956,168.40816,1420.0,5.0,5,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
42,0.51086956,168.40816,1420.0,6.0,5,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
43,0.48913044,168.40816,1420.0,7.0,5,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
44,0.51086956,168.40816,1420.0,8.0,5,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
45,0.7282609,166.04521,1440.0,0.0,6,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
46,0.48913044,166.04521,1440.0,1.0,6,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
47,0.51086956,166.04521,1440.0,2.0,6,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
48,0.4347826,166.04521,1440.0,3.0,6,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
49,0.51086956,166.04521,1440.0,4.0,6,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
50,0.48913044,166.04521,1440.0,5.0,6,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
51,0.84782606,166.04521,1440.0,6.0,6,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
52,0.76086956,166.04521,1440.0,7.0,6,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
53,0.48913044,166.04521,1440.0,8.0,6,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
54,0.5217391,182.25763,1420.0,0.0,7,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
55,0.5,182.25763,1420.0,1.0,7,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
56,0.7282609,182.25763,1420.0,2.0,7,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
57,0.4673913,182.25763,1420.0,3.0,7,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
58,0.54347825,182.25763,1420.0,4.0,7,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
59,0.7282609,182.25763,1420.0,5.0,7,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
60,0.67391306,182.25763,1420.0,6.0,7,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
61,0.7717391,182.25763,1420.0,7.0,7,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
62,0.51086956,182.25763,1420.0,8.0,7,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
63,0.5,185.93997,1420.0,0.0,8,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
64,0.5,185.93997,1420.0,1.0,8,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
65,0.5,185.93997,1420.0,2.0,8,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
66,0.35869566,185.93997,1420.0,3.0,8,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
67,0.4673913,185.93997,1420.0,4.0,8,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
68,0.5,185.93997,1420.0,5.0,8,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
69,0.5,185.93997,1420.0,6.0,8,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
70,0.5,185.93997,1420.0,7.0,8,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
71,0.5,185.93997,1420.0,8.0,8,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
72,0.5,180.94629,1420.0,0.0,9,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
73,0.47826087,180.94629,1420.0,1.0,9,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
74,0.5217391,180.94629,1420.0,2.0,9,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
75,0.47826087,180.94629,1420.0,3.0,9,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
76,0.5217391,180.94629,1420.0,4.0,9,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
77,0.6195652,180.94629,1420.0,5.0,9,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
78,0.47826087,180.94629,1420.0,6.0,9,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
79,0.8152174,180.94629,1420.0,7.0,9,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
80,0.48913044,180.94629,1420.0,8.0,9,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
81,0.51086956,177.84988,1420.0,0.0,10,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
82,0.5217391,177.84988,1420.0,1.0,10,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
83,0.48913044,177.84988,1420.0,2.0,10,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
84,0.51086956,177.84988,1420.0,3.0,10,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
85,0.47826087,177.84988,1420.0,4.0,10,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
86,0.48913044,177.84988,1420.0,5.0,10,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
87,0.42391303,177.84988,1420.0,6.0,10,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
88,0.51086956,177.84988,1420.0,7.0,10,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
89,0.4673913,177.84988,1420.0,8.0,10,session_E,21,1,Weibo2014,EEGNet|_EA-Frozen
