,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.5,557.8891,1420.0,0.0,0.30445656,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
1,0.4375,557.8891,1420.0,1.0,0.2846095,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
2,0.5416667,557.8891,1420.0,2.0,0.28429416,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
3,0.4375,557.8891,1420.0,3.0,0.28917372,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
4,0.5625,557.8891,1420.0,4.0,0.26290175,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
5,0.5416667,557.8891,1420.0,5.0,0.31412047,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
6,0.5625,557.8891,1420.0,6.0,0.26094684,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
7,0.5625,557.8891,1420.0,7.0,0.34392852,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
8,0.47916666,557.8891,1420.0,8.0,0.2729306,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
9,0.4375,522.16766,1420.0,0.0,0.241047,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
10,0.6875,522.16766,1420.0,1.0,0.27476266,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
11,0.5833333,522.16766,1420.0,2.0,0.24717003,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
12,0.5833333,522.16766,1420.0,3.0,0.39448357,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
13,0.5833333,522.16766,1420.0,4.0,0.31872952,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
14,0.6458333,522.16766,1420.0,5.0,0.31316686,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
15,0.5625,522.16766,1420.0,6.0,0.29107028,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
16,0.5208333,522.16766,1420.0,7.0,0.3146752,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
17,0.4375,522.16766,1420.0,8.0,0.2515754,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
18,0.35416666,504.10956,1420.0,0.0,0.30541667,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
19,0.4375,504.10956,1420.0,1.0,0.28829265,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
20,0.5833333,504.10956,1420.0,2.0,0.30100605,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
21,0.5,504.10956,1420.0,3.0,0.27022842,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
