,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.53,296.19473,1420.0,0.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
1,0.55,309.8883,1420.0,1.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
2,0.39,316.4451,1420.0,2.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
3,0.49,322.80322,1420.0,3.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
4,0.54,336.23566,1420.0,4.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
5,0.49,347.41284,1420.0,5.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
6,0.61,362.0756,1420.0,6.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
7,0.54,368.63937,1420.0,7.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
8,0.51,376.00616,1420.0,8.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
9,0.59,272.10928,1420.0,0.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
10,0.54,278.86716,1420.0,1.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
11,0.48,285.85532,1420.0,2.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
12,0.63,295.88934,1420.0,3.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
13,0.71,311.2316,1420.0,4.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
14,0.66,320.48343,1420.0,5.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
15,0.61,338.00415,1420.0,6.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
16,0.46,344.71387,1420.0,7.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
17,0.45,352.3072,1420.0,8.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
18,0.56,329.14783,1420.0,0.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
19,0.49,335.93396,1420.0,1.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
20,0.47,343.826,1420.0,2.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
21,0.55,349.9119,1420.0,3.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
22,0.47,355.87866,1420.0,4.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
23,0.43,369.3081,1420.0,5.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
24,0.51,377.86023,1420.0,6.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
25,0.52,384.5333,1420.0,7.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
26,0.5,395.76935,1420.0,8.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
27,0.58,296.41583,1420.0,0.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
28,0.56,302.98285,1420.0,1.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
29,0.52,312.6507,1420.0,2.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
30,0.57,319.61523,1420.0,3.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
31,0.41,327.05853,1420.0,4.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
32,0.44,341.28036,1420.0,5.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
33,0.48,352.495,1420.0,6.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
34,0.63,360.98593,1420.0,7.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
35,0.47,368.6511,1420.0,8.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
36,0.51,325.79648,1420.0,0.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
37,0.67,340.35602,1420.0,1.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
38,0.53,356.43817,1420.0,2.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
39,0.61,375.38196,1420.0,3.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
40,0.59,385.00235,1420.0,4.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
41,0.53,392.20297,1420.0,5.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
42,0.63,408.10895,1420.0,6.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
43,0.52,426.15543,1420.0,7.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
