,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.52,552.6039,1420.0,0.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
1,0.53,552.6039,1420.0,1.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
2,0.41,552.6039,1420.0,2.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
3,0.49,552.6039,1420.0,3.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
4,0.53,552.6039,1420.0,4.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
5,0.44,552.6039,1420.0,5.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
6,0.54,552.6039,1420.0,6.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
7,0.54,552.6039,1420.0,7.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
8,0.52,552.6039,1420.0,8.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
9,0.52,500.60416,1420.0,0.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
10,0.55,500.60416,1420.0,1.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
11,0.5,500.60416,1420.0,2.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
12,0.63,500.60416,1420.0,3.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
13,0.57,500.60416,1420.0,4.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
14,0.63,500.60416,1420.0,5.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
15,0.53,500.60416,1420.0,6.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
16,0.45,500.60416,1420.0,7.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
17,0.49,500.60416,1420.0,8.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
18,0.53,483.2923,1420.0,0.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
19,0.55,483.2923,1420.0,1.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
20,0.55,483.2923,1420.0,2.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
21,0.57,483.2923,1420.0,3.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
22,0.51,483.2923,1420.0,4.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
23,0.51,483.2923,1420.0,5.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
24,0.51,483.2923,1420.0,6.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
25,0.47,483.2923,1420.0,7.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
26,0.5,483.2923,1420.0,8.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
27,0.52,457.0133,1420.0,0.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
28,0.54,457.0133,1420.0,1.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
29,0.54,457.0133,1420.0,2.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
30,0.54,457.0133,1420.0,3.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
31,0.45,457.0133,1420.0,4.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
32,0.48,457.0133,1420.0,5.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
33,0.46,457.0133,1420.0,6.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
34,0.52,457.0133,1420.0,7.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
35,0.46,457.0133,1420.0,8.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
36,0.54,464.19296,1420.0,0.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
37,0.52,464.19296,1420.0,1.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
38,0.5,464.19296,1420.0,2.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
39,0.46,464.19296,1420.0,3.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
40,0.58,464.19296,1420.0,4.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
41,0.59,464.19296,1420.0,5.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
42,0.62,464.19296,1420.0,6.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
43,0.51,464.19296,1420.0,7.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
44,0.56,464.19296,1420.0,8.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
45,0.6,459.03455,1440.0,0.0,6,both,60,1,Weibo2014,EEGNet|_EA-Frozen
46,0.62,459.03455,1440.0,1.0,6,both,60,1,Weibo2014,EEGNet|_EA-Frozen
47,0.41,459.03455,1440.0,2.0,6,both,60,1,Weibo2014,EEGNet|_EA-Frozen
48,0.48,459.03455,1440.0,3.0,6,both,60,1,Weibo2014,EEGNet|_EA-Frozen
49,0.46,459.03455,1440.0,4.0,6,both,60,1,Weibo2014,EEGNet|_EA-Frozen
50,0.58,459.03455,1440.0,5.0,6,both,60,1,Weibo2014,EEGNet|_EA-Frozen
