,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.6666667,145.04253,1420.0,1,both,60,1,Weibo2014,EEGNetv4_EA
1,0.6666667,138.41994,1420.0,2,both,60,1,Weibo2014,EEGNetv4_EA
2,0.51666665,155.45117,1420.0,3,both,60,1,Weibo2014,EEGNetv4_EA
3,0.5,150.39478,1420.0,4,both,60,1,Weibo2014,EEGNetv4_EA
4,0.59166664,146.18393,1420.0,5,both,60,1,Weibo2014,EEGNetv4_EA
5,0.81,153.01172,1440.0,6,both,60,1,Weibo2014,EEGNetv4_EA
6,0.8333333,153.7259,1420.0,7,both,60,1,Weibo2014,EEGNetv4_EA
7,0.7916667,147.38298,1420.0,8,both,60,1,Weibo2014,EEGNetv4_EA
8,0.5833333,147.91756,1420.0,9,both,60,1,Weibo2014,EEGNetv4_EA
9,0.575,142.37616,1420.0,10,both,60,1,Weibo2014,EEGNetv4_EA
