,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.6666667,179.82323,1420.0,1,both,60,1,Weibo2014,EEGNetv4_EA
1,0.6666667,162.6067,1420.0,2,both,60,1,Weibo2014,EEGNetv4_EA
2,0.51666665,183.79665,1420.0,3,both,60,1,Weibo2014,EEGNetv4_EA
3,0.5,178.95164,1420.0,4,both,60,1,Weibo2014,EEGNetv4_EA
4,0.59166664,173.88428,1420.0,5,both,60,1,Weibo2014,EEGNetv4_EA
5,0.81,186.02238,1440.0,6,both,60,1,Weibo2014,EEGNetv4_EA
6,0.8333333,180.85149,1420.0,7,both,60,1,Weibo2014,EEGNetv4_EA
7,0.7916667,178.2972,1420.0,8,both,60,1,Weibo2014,EEGNetv4_EA
8,0.5833333,175.55937,1420.0,9,both,60,1,Weibo2014,EEGNetv4_EA
9,0.575,170.3092,1420.0,10,both,60,1,Weibo2014,EEGNetv4_EA
