,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.56,214.41104,1420.0,0.0,1,both,21,1,Weibo2014,EEGNet|_EA-Frozen
1,0.52,221.43567,1420.0,1.0,1,both,21,1,Weibo2014,EEGNet|_EA-Frozen
2,0.51,228.6484,1420.0,2.0,1,both,21,1,Weibo2014,EEGNet|_EA-Frozen
3,0.56,235.73938,1420.0,3.0,1,both,21,1,Weibo2014,EEGNet|_EA-Frozen
4,0.59,251.98471,1420.0,4.0,1,both,21,1,Weibo2014,EEGNet|_EA-Frozen
5,0.65,259.78284,1420.0,5.0,1,both,21,1,Weibo2014,EEGNet|_EA-Frozen
6,0.66,276.4642,1420.0,6.0,1,both,21,1,Weibo2014,EEGNet|_EA-Frozen
7,0.63,292.43115,1420.0,7.0,1,both,21,1,Weibo2014,EEGNet|_EA-Frozen
8,0.48,299.44894,1420.0,8.0,1,both,21,1,Weibo2014,EEGNet|_EA-Frozen
9,0.71,211.33258,1420.0,0.0,2,both,21,1,Weibo2014,EEGNet|_EA-Frozen
10,0.71,220.8749,1420.0,1.0,2,both,21,1,Weibo2014,EEGNet|_EA-Frozen
11,0.6,236.0869,1420.0,2.0,2,both,21,1,Weibo2014,EEGNet|_EA-Frozen
12,0.74,251.95496,1420.0,3.0,2,both,21,1,Weibo2014,EEGNet|_EA-Frozen
13,0.85,270.92957,1420.0,4.0,2,both,21,1,Weibo2014,EEGNet|_EA-Frozen
14,0.72,287.1316,1420.0,5.0,2,both,21,1,Weibo2014,EEGNet|_EA-Frozen
15,0.84,304.25388,1420.0,6.0,2,both,21,1,Weibo2014,EEGNet|_EA-Frozen
16,0.8,321.03232,1420.0,7.0,2,both,21,1,Weibo2014,EEGNet|_EA-Frozen
17,0.67,339.34012,1420.0,8.0,2,both,21,1,Weibo2014,EEGNet|_EA-Frozen
18,0.54,211.13991,1420.0,0.0,3,both,21,1,Weibo2014,EEGNet|_EA-Frozen
19,0.7,219.14229,1420.0,1.0,3,both,21,1,Weibo2014,EEGNet|_EA-Frozen
20,0.52,225.4543,1420.0,2.0,3,both,21,1,Weibo2014,EEGNet|_EA-Frozen
21,0.49,231.2623,1420.0,3.0,3,both,21,1,Weibo2014,EEGNet|_EA-Frozen
22,0.6,237.91095,1420.0,4.0,3,both,21,1,Weibo2014,EEGNet|_EA-Frozen
23,0.54,246.02948,1420.0,5.0,3,both,21,1,Weibo2014,EEGNet|_EA-Frozen
24,0.59,254.0346,1420.0,6.0,3,both,21,1,Weibo2014,EEGNet|_EA-Frozen
25,0.54,262.70047,1420.0,7.0,3,both,21,1,Weibo2014,EEGNet|_EA-Frozen
26,0.61,274.86334,1420.0,8.0,3,both,21,1,Weibo2014,EEGNet|_EA-Frozen
27,0.46,255.50206,1420.0,0.0,4,both,21,1,Weibo2014,EEGNet|_EA-Frozen
28,0.49,275.51956,1420.0,1.0,4,both,21,1,Weibo2014,EEGNet|_EA-Frozen
29,0.52,283.86682,1420.0,2.0,4,both,21,1,Weibo2014,EEGNet|_EA-Frozen
30,0.54,299.46384,1420.0,3.0,4,both,21,1,Weibo2014,EEGNet|_EA-Frozen
31,0.47,306.91513,1420.0,4.0,4,both,21,1,Weibo2014,EEGNet|_EA-Frozen
32,0.46,314.12518,1420.0,5.0,4,both,21,1,Weibo2014,EEGNet|_EA-Frozen
33,0.59,332.2542,1420.0,6.0,4,both,21,1,Weibo2014,EEGNet|_EA-Frozen
34,0.55,339.33496,1420.0,7.0,4,both,21,1,Weibo2014,EEGNet|_EA-Frozen
35,0.49,353.92474,1420.0,8.0,4,both,21,1,Weibo2014,EEGNet|_EA-Frozen
36,0.63,220.36855,1420.0,0.0,5,both,21,1,Weibo2014,EEGNet|_EA-Frozen
37,0.56,228.92195,1420.0,1.0,5,both,21,1,Weibo2014,EEGNet|_EA-Frozen
38,0.66,246.38258,1420.0,2.0,5,both,21,1,Weibo2014,EEGNet|_EA-Frozen
39,0.49,265.4314,1420.0,3.0,5,both,21,1,Weibo2014,EEGNet|_EA-Frozen
40,0.69,283.1231,1420.0,4.0,5,both,21,1,Weibo2014,EEGNet|_EA-Frozen
41,0.67,303.04678,1420.0,5.0,5,both,21,1,Weibo2014,EEGNet|_EA-Frozen
42,0.64,321.0864,1420.0,6.0,5,both,21,1,Weibo2014,EEGNet|_EA-Frozen
43,0.67,339.57523,1420.0,7.0,5,both,21,1,Weibo2014,EEGNet|_EA-Frozen
44,0.62,357.71283,1420.0,8.0,5,both,21,1,Weibo2014,EEGNet|_EA-Frozen
45,0.79,303.12332,1440.0,0.0,6,both,21,1,Weibo2014,EEGNet|_EA-Frozen
