,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.56,208.98972,1420.0,0.0,1,both,21,1,Weibo2014,EEGNet|_EA-Frozen
1,0.52,208.98972,1420.0,1.0,1,both,21,1,Weibo2014,EEGNet|_EA-Frozen
2,0.51,208.98972,1420.0,2.0,1,both,21,1,Weibo2014,EEGNet|_EA-Frozen
3,0.55,208.98972,1420.0,3.0,1,both,21,1,Weibo2014,EEGNet|_EA-Frozen
4,0.55,208.98972,1420.0,4.0,1,both,21,1,Weibo2014,EEGNet|_EA-Frozen
5,0.65,208.98972,1420.0,5.0,1,both,21,1,Weibo2014,EEGNet|_EA-Frozen
6,0.59,208.98972,1420.0,6.0,1,both,21,1,Weibo2014,EEGNet|_EA-Frozen
7,0.53,208.98972,1420.0,7.0,1,both,21,1,Weibo2014,EEGNet|_EA-Frozen
8,0.49,208.98972,1420.0,8.0,1,both,21,1,Weibo2014,EEGNet|_EA-Frozen
9,0.6,187.48201,1420.0,0.0,2,both,21,1,Weibo2014,EEGNet|_EA-Frozen
10,0.67,187.48201,1420.0,1.0,2,both,21,1,Weibo2014,EEGNet|_EA-Frozen
11,0.44,187.48201,1420.0,2.0,2,both,21,1,Weibo2014,EEGNet|_EA-Frozen
12,0.67,187.48201,1420.0,3.0,2,both,21,1,Weibo2014,EEGNet|_EA-Frozen
13,0.73,187.48201,1420.0,4.0,2,both,21,1,Weibo2014,EEGNet|_EA-Frozen
14,0.63,187.48201,1420.0,5.0,2,both,21,1,Weibo2014,EEGNet|_EA-Frozen
15,0.78,187.48201,1420.0,6.0,2,both,21,1,Weibo2014,EEGNet|_EA-Frozen
16,0.71,187.48201,1420.0,7.0,2,both,21,1,Weibo2014,EEGNet|_EA-Frozen
17,0.57,187.48201,1420.0,8.0,2,both,21,1,Weibo2014,EEGNet|_EA-Frozen
18,0.52,196.3586,1420.0,0.0,3,both,21,1,Weibo2014,EEGNet|_EA-Frozen
19,0.59,196.3586,1420.0,1.0,3,both,21,1,Weibo2014,EEGNet|_EA-Frozen
20,0.52,196.3586,1420.0,2.0,3,both,21,1,Weibo2014,EEGNet|_EA-Frozen
21,0.51,196.3586,1420.0,3.0,3,both,21,1,Weibo2014,EEGNet|_EA-Frozen
22,0.6,196.3586,1420.0,4.0,3,both,21,1,Weibo2014,EEGNet|_EA-Frozen
23,0.54,196.3586,1420.0,5.0,3,both,21,1,Weibo2014,EEGNet|_EA-Frozen
24,0.55,196.3586,1420.0,6.0,3,both,21,1,Weibo2014,EEGNet|_EA-Frozen
25,0.57,196.3586,1420.0,7.0,3,both,21,1,Weibo2014,EEGNet|_EA-Frozen
26,0.63,196.3586,1420.0,8.0,3,both,21,1,Weibo2014,EEGNet|_EA-Frozen
27,0.46,182.57947,1420.0,0.0,4,both,21,1,Weibo2014,EEGNet|_EA-Frozen
28,0.55,182.57947,1420.0,1.0,4,both,21,1,Weibo2014,EEGNet|_EA-Frozen
29,0.5,182.57947,1420.0,2.0,4,both,21,1,Weibo2014,EEGNet|_EA-Frozen
30,0.59,182.57947,1420.0,3.0,4,both,21,1,Weibo2014,EEGNet|_EA-Frozen
31,0.43,182.57947,1420.0,4.0,4,both,21,1,Weibo2014,EEGNet|_EA-Frozen
32,0.48,182.57947,1420.0,5.0,4,both,21,1,Weibo2014,EEGNet|_EA-Frozen
33,0.51,182.57947,1420.0,6.0,4,both,21,1,Weibo2014,EEGNet|_EA-Frozen
34,0.5,182.57947,1420.0,7.0,4,both,21,1,Weibo2014,EEGNet|_EA-Frozen
35,0.53,182.57947,1420.0,8.0,4,both,21,1,Weibo2014,EEGNet|_EA-Frozen
36,0.54,193.87117,1420.0,0.0,5,both,21,1,Weibo2014,EEGNet|_EA-Frozen
37,0.61,193.87117,1420.0,1.0,5,both,21,1,Weibo2014,EEGNet|_EA-Frozen
38,0.61,193.87117,1420.0,2.0,5,both,21,1,Weibo2014,EEGNet|_EA-Frozen
39,0.42,193.87117,1420.0,3.0,5,both,21,1,Weibo2014,EEGNet|_EA-Frozen
40,0.65,193.87117,1420.0,4.0,5,both,21,1,Weibo2014,EEGNet|_EA-Frozen
41,0.55,193.87117,1420.0,5.0,5,both,21,1,Weibo2014,EEGNet|_EA-Frozen
42,0.62,193.87117,1420.0,6.0,5,both,21,1,Weibo2014,EEGNet|_EA-Frozen
43,0.64,193.87117,1420.0,7.0,5,both,21,1,Weibo2014,EEGNet|_EA-Frozen
44,0.59,193.87117,1420.0,8.0,5,both,21,1,Weibo2014,EEGNet|_EA-Frozen
45,0.58,334.72818,1440.0,0.0,6,both,21,1,Weibo2014,EEGNet|_EA-Frozen
46,0.95,334.72818,1440.0,1.0,6,both,21,1,Weibo2014,EEGNet|_EA-Frozen
47,0.67,334.72818,1440.0,2.0,6,both,21,1,Weibo2014,EEGNet|_EA-Frozen
48,0.38,334.72818,1440.0,3.0,6,both,21,1,Weibo2014,EEGNet|_EA-Frozen
49,0.75,334.72818,1440.0,4.0,6,both,21,1,Weibo2014,EEGNet|_EA-Frozen
50,0.83,334.72818,1440.0,5.0,6,both,21,1,Weibo2014,EEGNet|_EA-Frozen
51,0.82,334.72818,1440.0,6.0,6,both,21,1,Weibo2014,EEGNet|_EA-Frozen
52,0.88,334.72818,1440.0,7.0,6,both,21,1,Weibo2014,EEGNet|_EA-Frozen
53,0.5,334.72818,1440.0,8.0,6,both,21,1,Weibo2014,EEGNet|_EA-Frozen
54,0.68,183.59125,1420.0,0.0,7,both,21,1,Weibo2014,EEGNet|_EA-Frozen
55,0.83,183.59125,1420.0,1.0,7,both,21,1,Weibo2014,EEGNet|_EA-Frozen
56,0.57,183.59125,1420.0,2.0,7,both,21,1,Weibo2014,EEGNet|_EA-Frozen
57,0.4,183.59125,1420.0,3.0,7,both,21,1,Weibo2014,EEGNet|_EA-Frozen
58,0.76,183.59125,1420.0,4.0,7,both,21,1,Weibo2014,EEGNet|_EA-Frozen
59,0.85,183.59125,1420.0,5.0,7,both,21,1,Weibo2014,EEGNet|_EA-Frozen
