,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.53,137.77074,1420.0,0.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
1,0.48,145.46117,1420.0,1.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
2,0.47,154.73996,1420.0,2.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
3,0.52,164.36256,1420.0,3.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
4,0.62,174.91835,1420.0,4.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
5,0.48,183.14001,1420.0,5.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
6,0.49,191.76404,1420.0,6.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
7,0.54,199.27316,1420.0,7.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
8,0.51,206.68854,1420.0,8.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
9,0.48,342.68893,1420.0,0.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
10,0.52,356.35788,1420.0,1.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
11,0.46,363.76797,1420.0,2.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
12,0.56,372.96048,1420.0,3.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
13,0.8,390.13544,1420.0,4.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
14,0.76,401.66116,1420.0,5.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
15,0.56,412.58505,1420.0,6.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
16,0.45,419.84543,1420.0,7.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
17,0.52,427.47842,1420.0,8.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
18,0.47,380.26334,1420.0,0.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
19,0.52,389.41348,1420.0,1.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
20,0.47,400.2567,1420.0,2.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
21,0.55,409.18442,1420.0,3.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
22,0.47,418.17346,1420.0,4.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
23,0.39,432.97235,1420.0,5.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
24,0.53,446.85638,1420.0,6.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
25,0.5,456.41183,1420.0,7.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
26,0.52,471.6627,1420.0,8.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
27,0.46,377.09464,1420.0,0.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
28,0.53,387.4037,1420.0,1.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
29,0.45,404.8704,1420.0,2.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
30,0.45,416.47333,1420.0,3.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
31,0.49,425.89648,1420.0,4.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
32,0.52,434.443,1420.0,5.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
33,0.48,448.1802,1420.0,6.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
34,0.52,457.09607,1420.0,7.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
35,0.48,464.9615,1420.0,8.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
36,0.49,117.82294,1420.0,0.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
37,0.47,125.40907,1420.0,1.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
38,0.51,146.12476,1420.0,2.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
39,0.53,168.34604,1420.0,3.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
40,0.47,188.98685,1420.0,4.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
41,0.49,199.05095,1420.0,5.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
42,0.47,226.00923,1420.0,6.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
43,0.45,251.41544,1420.0,7.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
44,0.53,260.34396,1420.0,8.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
45,0.59,363.98032,1440.0,0.0,6,both,60,1,Weibo2014,EEGNet|_EA-Frozen
46,0.86,379.22058,1440.0,1.0,6,both,60,1,Weibo2014,EEGNet|_EA-Frozen
47,0.52,396.2673,1440.0,2.0,6,both,60,1,Weibo2014,EEGNet|_EA-Frozen
48,0.51,404.49057,1440.0,3.0,6,both,60,1,Weibo2014,EEGNet|_EA-Frozen
