,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.5,132.25632,1420.0,0.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
1,0.49,132.25632,1420.0,1.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
2,0.47,132.25632,1420.0,2.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
3,0.53,132.25632,1420.0,3.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
4,0.62,132.25632,1420.0,4.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
5,0.47,132.25632,1420.0,5.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
6,0.48,132.25632,1420.0,6.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
7,0.53,132.25632,1420.0,7.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
8,0.5,132.25632,1420.0,8.0,1,both,60,1,Weibo2014,EEGNet|_EA-Frozen
9,0.52,101.72904,1420.0,0.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
10,0.52,101.72904,1420.0,1.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
11,0.48,101.72904,1420.0,2.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
12,0.47,101.72904,1420.0,3.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
13,0.47,101.72904,1420.0,4.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
14,0.52,101.72904,1420.0,5.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
15,0.61,101.72904,1420.0,6.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
16,0.43,101.72904,1420.0,7.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
17,0.49,101.72904,1420.0,8.0,2,both,60,1,Weibo2014,EEGNet|_EA-Frozen
18,0.46,317.12134,1420.0,0.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
19,0.53,317.12134,1420.0,1.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
20,0.47,317.12134,1420.0,2.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
21,0.54,317.12134,1420.0,3.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
22,0.55,317.12134,1420.0,4.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
23,0.54,317.12134,1420.0,5.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
24,0.5,317.12134,1420.0,6.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
25,0.49,317.12134,1420.0,7.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
26,0.54,317.12134,1420.0,8.0,3,both,60,1,Weibo2014,EEGNet|_EA-Frozen
27,0.53,354.8704,1420.0,0.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
28,0.53,354.8704,1420.0,1.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
29,0.49,354.8704,1420.0,2.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
30,0.47,354.8704,1420.0,3.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
31,0.54,354.8704,1420.0,4.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
32,0.48,354.8704,1420.0,5.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
33,0.46,354.8704,1420.0,6.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
34,0.52,354.8704,1420.0,7.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
35,0.49,354.8704,1420.0,8.0,4,both,60,1,Weibo2014,EEGNet|_EA-Frozen
36,0.49,332.6563,1420.0,0.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
37,0.57,332.6563,1420.0,1.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
38,0.47,332.6563,1420.0,2.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
39,0.55,332.6563,1420.0,3.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
40,0.57,332.6563,1420.0,4.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
41,0.59,332.6563,1420.0,5.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
42,0.57,332.6563,1420.0,6.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
43,0.51,332.6563,1420.0,7.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
44,0.51,332.6563,1420.0,8.0,5,both,60,1,Weibo2014,EEGNet|_EA-Frozen
45,0.57,331.4205,1440.0,0.0,6,both,60,1,Weibo2014,EEGNet|_EA-Frozen
46,0.64,331.4205,1440.0,1.0,6,both,60,1,Weibo2014,EEGNet|_EA-Frozen
47,0.5,331.4205,1440.0,2.0,6,both,60,1,Weibo2014,EEGNet|_EA-Frozen
48,0.45,331.4205,1440.0,3.0,6,both,60,1,Weibo2014,EEGNet|_EA-Frozen
49,0.51,331.4205,1440.0,4.0,6,both,60,1,Weibo2014,EEGNet|_EA-Frozen
50,0.6,331.4205,1440.0,5.0,6,both,60,1,Weibo2014,EEGNet|_EA-Frozen
51,0.52,331.4205,1440.0,6.0,6,both,60,1,Weibo2014,EEGNet|_EA-Frozen
52,0.71,331.4205,1440.0,7.0,6,both,60,1,Weibo2014,EEGNet|_EA-Frozen
53,0.51,331.4205,1440.0,8.0,6,both,60,1,Weibo2014,EEGNet|_EA-Frozen
54,0.48,104.09499,1420.0,0.0,7,both,60,1,Weibo2014,EEGNet|_EA-Frozen
55,0.49,104.09499,1420.0,1.0,7,both,60,1,Weibo2014,EEGNet|_EA-Frozen
56,0.52,104.09499,1420.0,2.0,7,both,60,1,Weibo2014,EEGNet|_EA-Frozen
57,0.49,104.09499,1420.0,3.0,7,both,60,1,Weibo2014,EEGNet|_EA-Frozen
58,0.48,104.09499,1420.0,4.0,7,both,60,1,Weibo2014,EEGNet|_EA-Frozen
59,0.5,104.09499,1420.0,5.0,7,both,60,1,Weibo2014,EEGNet|_EA-Frozen
60,0.43,104.09499,1420.0,6.0,7,both,60,1,Weibo2014,EEGNet|_EA-Frozen
61,0.51,104.09499,1420.0,7.0,7,both,60,1,Weibo2014,EEGNet|_EA-Frozen
62,0.53,104.09499,1420.0,8.0,7,both,60,1,Weibo2014,EEGNet|_EA-Frozen
63,0.53,283.94644,1420.0,0.0,8,both,60,1,Weibo2014,EEGNet|_EA-Frozen
64,0.58,283.94644,1420.0,1.0,8,both,60,1,Weibo2014,EEGNet|_EA-Frozen
65,0.44,283.94644,1420.0,2.0,8,both,60,1,Weibo2014,EEGNet|_EA-Frozen
66,0.49,283.94644,1420.0,3.0,8,both,60,1,Weibo2014,EEGNet|_EA-Frozen
67,0.4,283.94644,1420.0,4.0,8,both,60,1,Weibo2014,EEGNet|_EA-Frozen
68,0.57,283.94644,1420.0,5.0,8,both,60,1,Weibo2014,EEGNet|_EA-Frozen
