,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.5833333,72.59478,1420.0,1,both,21,1,Weibo2014,EEGNetv4_EA
1,0.875,91.11288,1420.0,2,both,21,1,Weibo2014,EEGNetv4_EA
2,0.64166665,69.24138,1420.0,3,both,21,1,Weibo2014,EEGNetv4_EA
3,0.475,87.06784,1420.0,4,both,21,1,Weibo2014,EEGNetv4_EA
4,0.5083333,66.49082,1420.0,5,both,21,1,Weibo2014,EEGNetv4_EA
5,0.85,76.00163,1440.0,6,both,21,1,Weibo2014,EEGNetv4_EA
6,0.80833334,73.04072,1420.0,7,both,21,1,Weibo2014,EEGNetv4_EA
7,0.84166664,68.26485,1420.0,8,both,21,1,Weibo2014,EEGNetv4_EA
8,0.76666665,71.04222,1420.0,9,both,21,1,Weibo2014,EEGNetv4_EA
9,0.64166665,68.167786,1420.0,10,both,21,1,Weibo2014,EEGNetv4_EA
