,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.5208333,256.82858,1420.0,0.0,0.3390257,1,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
1,0.47916666,256.82858,1420.0,1.0,0.3407188,1,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
2,0.47916666,256.82858,1420.0,2.0,0.2564282,1,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
3,0.5208333,256.82858,1420.0,3.0,0.1693418,1,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
4,0.47916666,256.82858,1420.0,4.0,0.3086117,1,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
5,0.47916666,256.82858,1420.0,5.0,0.18852873,1,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
6,0.375,256.82858,1420.0,6.0,0.35839906,1,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
7,0.47916666,256.82858,1420.0,7.0,0.1732006,1,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
8,0.5208333,256.82858,1420.0,8.0,0.25166607,1,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
9,0.5833333,279.88638,1420.0,0.0,0.24276447,2,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
10,0.4375,279.88638,1420.0,1.0,0.21932618,2,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
11,0.45833334,279.88638,1420.0,2.0,0.20976692,2,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
12,0.5625,279.88638,1420.0,3.0,0.44321823,2,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
13,0.7708333,279.88638,1420.0,4.0,0.29995054,2,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
14,0.6666667,279.88638,1420.0,5.0,0.22809684,2,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
15,0.5416667,279.88638,1420.0,6.0,0.44602603,2,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
16,0.6041667,279.88638,1420.0,7.0,0.20544331,2,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
17,0.5416667,279.88638,1420.0,8.0,0.26422977,2,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
18,0.47916666,319.9295,1420.0,0.0,0.20978147,3,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
19,0.47916666,319.9295,1420.0,1.0,0.1994495,3,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
20,0.47916666,319.9295,1420.0,2.0,0.19323993,3,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
21,0.5625,319.9295,1420.0,3.0,0.23866105,3,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
22,0.5,319.9295,1420.0,4.0,0.2052548,3,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
23,0.5,319.9295,1420.0,5.0,0.19994353,3,both,60,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
