,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.5625,333.33203,1420.0,0.0,0.23873304,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
1,0.6875,333.33203,1420.0,1.0,0.49018726,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
2,0.39583334,333.33203,1420.0,2.0,0.42306623,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
3,0.45833334,333.33203,1420.0,3.0,0.16330521,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
4,0.6041667,333.33203,1420.0,4.0,0.24954408,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
5,0.47916666,333.33203,1420.0,5.0,0.42631084,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
6,0.625,333.33203,1420.0,6.0,0.38066363,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
7,0.5416667,333.33203,1420.0,7.0,0.3110998,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
8,0.5208333,333.33203,1420.0,8.0,0.22892226,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
9,0.75,127.38729,1420.0,0.0,0.3358533,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
10,0.45833334,127.38729,1420.0,1.0,0.39059123,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
11,0.47916666,127.38729,1420.0,2.0,0.26130003,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
12,0.45833334,127.38729,1420.0,3.0,0.3825575,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
13,0.45833334,127.38729,1420.0,4.0,0.26320875,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
14,0.7291667,127.38729,1420.0,5.0,0.33841658,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
15,0.6041667,127.38729,1420.0,6.0,0.3768349,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
16,0.5,127.38729,1420.0,7.0,0.19233473,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
17,0.5208333,127.38729,1420.0,8.0,0.35032353,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
18,0.5833333,255.47522,1420.0,0.0,0.35338423,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
19,0.5208333,255.47522,1420.0,1.0,0.22222358,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
20,0.5,255.47522,1420.0,2.0,0.1727582,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
21,0.5208333,255.47522,1420.0,3.0,0.23716344,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
22,0.5416667,255.47522,1420.0,4.0,0.26330706,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
23,0.5416667,255.47522,1420.0,5.0,0.18683231,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
24,0.5416667,255.47522,1420.0,6.0,0.24566016,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
25,0.5,255.47522,1420.0,7.0,0.19198233,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
26,0.47916666,255.47522,1420.0,8.0,0.16053937,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
27,0.375,169.44954,1420.0,0.0,0.30007124,4,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
28,0.5416667,169.44954,1420.0,1.0,0.21454276,4,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
29,0.35416666,169.44954,1420.0,2.0,0.25032297,4,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
30,0.5,169.44954,1420.0,3.0,0.29228675,4,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
31,0.45833334,169.44954,1420.0,4.0,0.31225747,4,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
32,0.45833334,169.44954,1420.0,5.0,0.26555544,4,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
33,0.45833334,169.44954,1420.0,6.0,0.27152205,4,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
34,0.45833334,169.44954,1420.0,7.0,0.23216109,4,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
35,0.47916666,169.44954,1420.0,8.0,0.25155285,4,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
36,0.5,247.29175,1420.0,0.0,0.22280234,5,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
37,0.47916666,247.29175,1420.0,1.0,0.26018384,5,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
38,0.5208333,247.29175,1420.0,2.0,0.23652235,5,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
39,0.5416667,247.29175,1420.0,3.0,0.26170778,5,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
40,0.5208333,247.29175,1420.0,4.0,0.18487862,5,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
41,0.625,247.29175,1420.0,5.0,0.29065034,5,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
42,0.5625,247.29175,1420.0,6.0,0.27738333,5,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
43,0.5625,247.29175,1420.0,7.0,0.23517944,5,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
44,0.47916666,247.29175,1420.0,8.0,0.20556514,5,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
45,0.625,267.42896,1440.0,0.0,0.3994548,6,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
46,0.7083333,267.42896,1440.0,1.0,0.47785255,6,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
47,0.6041667,267.42896,1440.0,2.0,0.2699313,6,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
48,0.35416666,267.42896,1440.0,3.0,0.2489096,6,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
49,0.5416667,267.42896,1440.0,4.0,0.3871734,6,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
50,0.7291667,267.42896,1440.0,5.0,0.32284653,6,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
51,0.8958333,267.42896,1440.0,6.0,0.5066001,6,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
52,0.5208333,267.42896,1440.0,7.0,0.48821172,6,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
53,0.5,267.42896,1440.0,8.0,0.20558731,6,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
54,0.8958333,179.14423,1420.0,0.0,0.5586221,7,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
55,0.7083333,179.14423,1420.0,1.0,0.57320714,7,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
56,0.6041667,179.14423,1420.0,2.0,0.34270754,7,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
57,0.5,179.14423,1420.0,3.0,0.27044073,7,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
58,0.75,179.14423,1420.0,4.0,0.31502557,7,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
59,0.7708333,179.14423,1420.0,5.0,0.7606553,7,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
60,0.7083333,179.14423,1420.0,6.0,0.50291914,7,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
61,0.7291667,179.14423,1420.0,7.0,0.80886567,7,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
62,0.41666666,179.14423,1420.0,8.0,0.22058569,7,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
63,0.7291667,185.58136,1420.0,0.0,0.31856367,8,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
64,0.5,185.58136,1420.0,1.0,0.31481132,8,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
65,0.625,185.58136,1420.0,2.0,0.27072278,8,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
66,0.5,185.58136,1420.0,3.0,0.311706,8,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
67,0.7083333,185.58136,1420.0,4.0,0.36435246,8,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
68,0.6875,185.58136,1420.0,5.0,0.36017948,8,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
69,0.5625,185.58136,1420.0,6.0,0.31515262,8,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
70,0.5833333,185.58136,1420.0,7.0,0.42143938,8,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
71,0.5,185.58136,1420.0,8.0,0.21014926,8,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
72,0.5625,208.93074,1420.0,0.0,0.3127864,9,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
73,0.625,208.93074,1420.0,1.0,0.40155253,9,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
74,0.45833334,208.93074,1420.0,2.0,0.28218484,9,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
75,0.6458333,208.93074,1420.0,3.0,0.36638582,9,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
76,0.6875,208.93074,1420.0,4.0,0.30230284,9,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
77,0.7916667,208.93074,1420.0,5.0,0.4084412,9,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
78,0.5208333,208.93074,1420.0,6.0,0.20847777,9,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
79,0.7708333,208.93074,1420.0,7.0,0.4798152,9,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
80,0.4375,208.93074,1420.0,8.0,0.5125436,9,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
81,0.6041667,237.9193,1420.0,0.0,0.19784285,10,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
82,0.5208333,237.9193,1420.0,1.0,0.23698612,10,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
83,0.47916666,237.9193,1420.0,2.0,0.1974355,10,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
84,0.47916666,237.9193,1420.0,3.0,0.2532034,10,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
85,0.5833333,237.9193,1420.0,4.0,0.24816057,10,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
86,0.47916666,237.9193,1420.0,5.0,0.2128257,10,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
87,0.5208333,237.9193,1420.0,6.0,0.22490007,10,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
88,0.5208333,237.9193,1420.0,7.0,0.18584144,10,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
89,0.47916666,237.9193,1420.0,8.0,0.2866515,10,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
