,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.67,125.3192,1420.0,0.0,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
1,0.77,133.77513,1420.0,1.0,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
2,0.7,143.39616,1420.0,2.0,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
3,0.5,147.69548,1420.0,3.0,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
4,0.76,155.26953,1420.0,4.0,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
5,0.68,164.81422,1420.0,5.0,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
6,0.75,170.41748,1420.0,6.0,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
7,0.67,179.59778,1420.0,7.0,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
8,0.66,189.26991,1420.0,8.0,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
9,0.76,96.18375,1420.0,0.0,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
10,0.79,105.63401,1420.0,1.0,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
11,0.79,116.75839,1420.0,2.0,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
12,0.74,126.31795,1420.0,3.0,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
13,0.8,131.37518,1420.0,4.0,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
14,0.68,135.64247,1420.0,5.0,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
15,0.81,143.27127,1420.0,6.0,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
16,0.79,152.26653,1420.0,7.0,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
17,0.59,162.17036,1420.0,8.0,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
18,0.56,97.83991,1420.0,0.0,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
19,0.59,106.48811,1420.0,1.0,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
20,0.45,110.91226,1420.0,2.0,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
21,0.44,116.33668,1420.0,3.0,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
22,0.52,124.33669,1420.0,4.0,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
23,0.57,128.61293,1420.0,5.0,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
24,0.6,137.95811,1420.0,6.0,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
25,0.54,142.63222,1420.0,7.0,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
26,0.51,147.2734,1420.0,8.0,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
27,0.58,99.29376,1420.0,0.0,4,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
28,0.59,107.99323,1420.0,1.0,4,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
29,0.54,116.789314,1420.0,2.0,4,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
30,0.49,125.838905,1420.0,3.0,4,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
