,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.54,306.6966,1420.0,0.0,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
1,0.69,306.6966,1420.0,1.0,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
2,0.43,306.6966,1420.0,2.0,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
3,0.52,306.6966,1420.0,3.0,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
4,0.63,306.6966,1420.0,4.0,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
5,0.5,306.6966,1420.0,5.0,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
6,0.63,306.6966,1420.0,6.0,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
7,0.52,306.6966,1420.0,7.0,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
8,0.5,306.6966,1420.0,8.0,1,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
9,0.78,135.4046,1420.0,0.0,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
10,0.56,135.4046,1420.0,1.0,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
11,0.49,135.4046,1420.0,2.0,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
12,0.55,135.4046,1420.0,3.0,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
13,0.51,135.4046,1420.0,4.0,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
14,0.67,135.4046,1420.0,5.0,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
15,0.65,135.4046,1420.0,6.0,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
16,0.6,135.4046,1420.0,7.0,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
17,0.5,135.4046,1420.0,8.0,2,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
18,0.59,188.71446,1420.0,0.0,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
19,0.52,188.71446,1420.0,1.0,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
20,0.5,188.71446,1420.0,2.0,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
21,0.48,188.71446,1420.0,3.0,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
22,0.52,188.71446,1420.0,4.0,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
23,0.57,188.71446,1420.0,5.0,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
24,0.53,188.71446,1420.0,6.0,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
25,0.5,188.71446,1420.0,7.0,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
26,0.49,188.71446,1420.0,8.0,3,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
27,0.48,143.0081,1420.0,0.0,4,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
28,0.5,143.0081,1420.0,1.0,4,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
29,0.53,143.0081,1420.0,2.0,4,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
30,0.52,143.0081,1420.0,3.0,4,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
31,0.5,143.0081,1420.0,4.0,4,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
32,0.49,143.0081,1420.0,5.0,4,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
33,0.5,143.0081,1420.0,6.0,4,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
34,0.53,143.0081,1420.0,7.0,4,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
35,0.5,143.0081,1420.0,8.0,4,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
36,0.53,196.20998,1420.0,0.0,5,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
37,0.5,196.20998,1420.0,1.0,5,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
38,0.47,196.20998,1420.0,2.0,5,both,21,1,Weibo2014,AttentionBaseNet|_Without_EA-Frozen
