,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.55,154.76785,1420.0,1,both,21,1,Weibo2014,EEGNetv4_Without_EA
1,0.7416667,92.20228,1420.0,2,both,21,1,Weibo2014,EEGNetv4_Without_EA
2,0.53333336,134.08507,1420.0,3,both,21,1,Weibo2014,EEGNetv4_Without_EA
3,0.525,106.70584,1420.0,4,both,21,1,Weibo2014,EEGNetv4_Without_EA
4,0.5,103.48826,1420.0,5,both,21,1,Weibo2014,EEGNetv4_Without_EA
5,0.73,135.02002,1440.0,6,both,21,1,Weibo2014,EEGNetv4_Without_EA
6,0.69166666,141.98906,1420.0,7,both,21,1,Weibo2014,EEGNetv4_Without_EA
7,0.80833334,144.92758,1420.0,8,both,21,1,Weibo2014,EEGNetv4_Without_EA
8,0.65833336,131.51172,1420.0,9,both,21,1,Weibo2014,EEGNetv4_Without_EA
9,0.53333336,113.375626,1420.0,10,both,21,1,Weibo2014,EEGNetv4_Without_EA
