,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.5,12.062425,1420.0,1,both,21,1,Weibo2014,EEGNetv4_Without_EA
1,0.5,12.629923,1420.0,2,both,21,1,Weibo2014,EEGNetv4_Without_EA
2,0.5,12.438371,1420.0,3,both,21,1,Weibo2014,EEGNetv4_Without_EA
3,0.5,13.208909,1420.0,4,both,21,1,Weibo2014,EEGNetv4_Without_EA
4,0.5,11.851454,1420.0,5,both,21,1,Weibo2014,EEGNetv4_Without_EA
5,0.5,15.092294,1440.0,6,both,21,1,Weibo2014,EEGNetv4_Without_EA
6,0.5,13.895533,1420.0,7,both,21,1,Weibo2014,EEGNetv4_Without_EA
7,0.55,13.9836235,1420.0,8,both,21,1,Weibo2014,EEGNetv4_Without_EA
8,0.5,8.84377,1420.0,9,both,21,1,Weibo2014,EEGNetv4_Without_EA
9,0.5,16.938576,1420.0,10,both,21,1,Weibo2014,EEGNetv4_Without_EA
