,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.5416667,232.44307,1420.0,1,both,21,1,Weibo2014,EEGNetv4_Without_EA
1,0.725,168.15686,1420.0,2,both,21,1,Weibo2014,EEGNetv4_Without_EA
2,0.53333336,265.3669,1420.0,3,both,21,1,Weibo2014,EEGNetv4_Without_EA
3,0.48333332,288.93454,1420.0,4,both,21,1,Weibo2014,EEGNetv4_Without_EA
4,0.5,235.08252,1420.0,5,both,21,1,Weibo2014,EEGNetv4_Without_EA
5,0.77,341.0118,1440.0,6,both,21,1,Weibo2014,EEGNetv4_Without_EA
6,0.7083333,396.92313,1420.0,7,both,21,1,Weibo2014,EEGNetv4_Without_EA
7,0.7583333,395.815,1420.0,8,both,21,1,Weibo2014,EEGNetv4_Without_EA
8,0.6333333,269.34137,1420.0,9,both,21,1,Weibo2014,EEGNetv4_Without_EA
9,0.525,335.96494,1420.0,10,both,21,1,Weibo2014,EEGNetv4_Without_EA
