,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.45833334,187.50058,1420.0,0.0,0.5357229,1,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
1,0.45833334,187.50058,1420.0,1.0,0.3788798,1,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
2,0.25,187.50058,1420.0,2.0,0.5394616,1,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
3,0.5416667,187.50058,1420.0,3.0,0.3258525,1,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
4,0.41666666,187.50058,1420.0,4.0,0.46880576,1,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
5,0.5,187.50058,1420.0,5.0,0.4481714,1,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
6,0.45833334,187.50058,1420.0,6.0,0.5535752,1,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
7,0.5416667,187.50058,1420.0,7.0,0.411075,1,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
8,0.625,187.50058,1420.0,8.0,0.47710043,1,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
9,0.6666667,359.23294,1420.0,0.0,0.43991247,2,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
10,0.5833333,359.23294,1420.0,1.0,0.53378433,2,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
11,0.45833334,359.23294,1420.0,2.0,0.4848005,2,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
12,0.5,359.23294,1420.0,3.0,0.5344463,2,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
13,0.625,359.23294,1420.0,4.0,0.49746177,2,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
14,0.5833333,359.23294,1420.0,5.0,0.46652624,2,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
