,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.78,66.667854,1420.0,0.0,1,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
1,0.76,82.85825,1420.0,1.0,1,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
2,0.71,97.07901,1420.0,2.0,1,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
3,0.5,102.8228,1420.0,3.0,1,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
4,0.74,115.52235,1420.0,4.0,1,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
5,0.78,128.68364,1420.0,5.0,1,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
6,0.74,142.09195,1420.0,6.0,1,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
7,0.75,156.20616,1420.0,7.0,1,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
8,0.7,168.61089,1420.0,8.0,1,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
9,0.63,77.38765,1420.0,0.0,2,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
10,0.76,88.62581,1420.0,1.0,2,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
11,0.65,102.238686,1420.0,2.0,2,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
12,0.67,115.96179,1420.0,3.0,2,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
13,0.81,127.62821,1420.0,4.0,2,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
14,0.84,140.49904,1420.0,5.0,2,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
15,0.74,151.16675,1420.0,6.0,2,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
16,0.84,164.05925,1420.0,7.0,2,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
17,0.7,176.59663,1420.0,8.0,2,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
18,0.63,76.822075,1420.0,0.0,3,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
19,0.53,82.74572,1420.0,1.0,3,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
20,0.44,89.08802,1420.0,2.0,3,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
21,0.5,94.57494,1420.0,3.0,3,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
22,0.56,100.12244,1420.0,4.0,3,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
23,0.58,106.42148,1420.0,5.0,3,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
24,0.52,111.67367,1420.0,6.0,3,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
25,0.51,116.31551,1420.0,7.0,3,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
26,0.49,121.76748,1420.0,8.0,3,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
27,0.45,57.29038,1420.0,0.0,4,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
28,0.47,67.701035,1420.0,1.0,4,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
29,0.43,73.9336,1420.0,2.0,4,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
30,0.5,78.88682,1420.0,3.0,4,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
31,0.5,84.70079,1420.0,4.0,4,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
32,0.5,89.98094,1420.0,5.0,4,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
33,0.5,95.42575,1420.0,6.0,4,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
34,0.51,101.33503,1420.0,7.0,4,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
35,0.5,106.53877,1420.0,8.0,4,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
36,0.5,61.025723,1420.0,0.0,5,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
37,0.5,74.25246,1420.0,1.0,5,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
38,0.57,87.697685,1420.0,2.0,5,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
39,0.5,100.22976,1420.0,3.0,5,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
40,0.5,106.18996,1420.0,4.0,5,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
41,0.5,111.4804,1420.0,5.0,5,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
42,0.5,125.91149,1420.0,6.0,5,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
43,0.47,139.23007,1420.0,7.0,5,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
44,0.5,155.73508,1420.0,8.0,5,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
45,0.88,90.3315,1440.0,0.0,6,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
46,0.91,103.96437,1440.0,1.0,6,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
47,0.85,120.11696,1440.0,2.0,6,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
48,0.87,136.34541,1440.0,3.0,6,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
49,0.89,153.73839,1440.0,4.0,6,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
50,0.93,169.81789,1440.0,5.0,6,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
51,0.91,188.09978,1440.0,6.0,6,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
52,0.84,204.95428,1440.0,7.0,6,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
53,0.82,224.28464,1440.0,8.0,6,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
54,0.95,131.24162,1420.0,0.0,7,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
55,0.91,140.034,1420.0,1.0,7,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
56,0.9,151.68909,1420.0,2.0,7,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
57,0.85,166.09892,1420.0,3.0,7,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
58,0.88,180.73555,1420.0,4.0,7,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
59,0.9,189.35829,1420.0,5.0,7,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
60,0.82,196.18433,1420.0,6.0,7,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
61,0.92,209.04608,1420.0,7.0,7,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
62,0.9,222.43042,1420.0,8.0,7,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
63,0.9,92.89855,1420.0,0.0,8,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
64,0.96,104.95566,1420.0,1.0,8,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
65,0.88,117.859055,1420.0,2.0,8,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
66,0.39,123.32506,1420.0,3.0,8,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
67,0.93,139.0675,1420.0,4.0,8,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
68,0.97,151.67435,1420.0,5.0,8,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
69,0.91,165.88197,1420.0,6.0,8,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
70,0.9,178.3977,1420.0,7.0,8,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
71,0.63,183.62344,1420.0,8.0,8,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
72,0.56,70.77566,1420.0,0.0,9,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
73,0.5,76.07389,1420.0,1.0,9,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
74,0.68,87.702515,1420.0,2.0,9,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
75,0.63,98.52952,1420.0,3.0,9,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
76,0.42,103.642044,1420.0,4.0,9,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
77,0.8,113.682,1420.0,5.0,9,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
78,0.84,125.73549,1420.0,6.0,9,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
79,0.82,136.65865,1420.0,7.0,9,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
80,0.7,152.36,1420.0,8.0,9,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
81,0.52,138.87747,1420.0,0.0,10,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
82,0.5,146.63939,1420.0,1.0,10,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
83,0.53,152.19672,1420.0,2.0,10,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
84,0.54,159.23135,1420.0,3.0,10,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
85,0.5,165.55957,1420.0,4.0,10,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
86,0.45,177.48312,1420.0,5.0,10,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
87,0.46,186.6739,1420.0,6.0,10,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
88,0.5,195.20445,1420.0,7.0,10,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
89,0.47,209.71498,1420.0,8.0,10,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
