,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.5,195.88808,1420.0,0.0,1,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
1,0.5833333,195.88808,1420.0,1.0,1,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
2,0.4,195.88808,1420.0,2.0,1,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
3,0.5,195.88808,1420.0,3.0,1,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
4,0.525,195.88808,1420.0,4.0,1,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
5,0.53333336,195.88808,1420.0,5.0,1,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
6,0.5,195.88808,1420.0,6.0,1,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
7,0.49166667,195.88808,1420.0,7.0,1,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
8,0.525,195.88808,1420.0,8.0,1,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
9,0.71666664,370.69092,1420.0,0.0,2,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
10,0.5416667,370.69092,1420.0,1.0,2,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
11,0.46666667,370.69092,1420.0,2.0,2,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
12,0.53333336,370.69092,1420.0,3.0,2,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
13,0.7,370.69092,1420.0,4.0,2,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
14,0.6,370.69092,1420.0,5.0,2,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
15,0.5,370.69092,1420.0,6.0,2,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
16,0.60833335,370.69092,1420.0,7.0,2,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
17,0.5083333,370.69092,1420.0,8.0,2,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
18,0.55833334,371.45776,1420.0,0.0,3,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
19,0.5083333,371.45776,1420.0,1.0,3,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
20,0.5,371.45776,1420.0,2.0,3,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
21,0.45,371.45776,1420.0,3.0,3,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
22,0.475,371.45776,1420.0,4.0,3,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
23,0.5083333,371.45776,1420.0,5.0,3,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
24,0.49166667,371.45776,1420.0,6.0,3,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
25,0.53333336,371.45776,1420.0,7.0,3,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
26,0.49166667,371.45776,1420.0,8.0,3,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
27,0.44166666,242.65033,1420.0,0.0,4,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
28,0.51666665,242.65033,1420.0,1.0,4,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
29,0.5,242.65033,1420.0,2.0,4,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
30,0.5,242.65033,1420.0,3.0,4,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
31,0.51666665,242.65033,1420.0,4.0,4,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
32,0.5,242.65033,1420.0,5.0,4,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
33,0.49166667,242.65033,1420.0,6.0,4,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
34,0.51666665,242.65033,1420.0,7.0,4,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
35,0.525,242.65033,1420.0,8.0,4,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
36,0.5,381.40875,1420.0,0.0,5,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
37,0.5,381.40875,1420.0,1.0,5,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
38,0.48333332,381.40875,1420.0,2.0,5,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
39,0.49166667,381.40875,1420.0,3.0,5,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
40,0.525,381.40875,1420.0,4.0,5,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
41,0.5083333,381.40875,1420.0,5.0,5,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
42,0.55833334,381.40875,1420.0,6.0,5,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
43,0.5,381.40875,1420.0,7.0,5,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
44,0.49166667,381.40875,1420.0,8.0,5,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
45,0.60833335,632.52277,1440.0,0.0,6,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
46,0.5083333,632.52277,1440.0,1.0,6,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
47,0.5833333,632.52277,1440.0,2.0,6,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
48,0.44166666,632.52277,1440.0,3.0,6,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
49,0.55,632.52277,1440.0,4.0,6,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
50,0.625,632.52277,1440.0,5.0,6,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
51,0.7083333,632.52277,1440.0,6.0,6,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
52,0.95,632.52277,1440.0,7.0,6,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
53,0.5,632.52277,1440.0,8.0,6,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
54,0.825,374.20547,1420.0,0.0,7,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
55,0.78333336,374.20547,1420.0,1.0,7,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
56,0.78333336,374.20547,1420.0,2.0,7,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
57,0.475,374.20547,1420.0,3.0,7,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
58,0.525,374.20547,1420.0,4.0,7,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
59,0.8333333,374.20547,1420.0,5.0,7,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
60,0.5416667,374.20547,1420.0,6.0,7,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
61,0.625,374.20547,1420.0,7.0,7,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
62,0.5,374.20547,1420.0,8.0,7,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
63,0.5833333,367.4914,1420.0,0.0,8,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
64,0.525,367.4914,1420.0,1.0,8,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
65,0.65833336,367.4914,1420.0,2.0,8,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
66,0.43333334,367.4914,1420.0,3.0,8,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
67,0.5,367.4914,1420.0,4.0,8,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
68,0.925,367.4914,1420.0,5.0,8,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
69,0.5083333,367.4914,1420.0,6.0,8,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
70,0.80833334,367.4914,1420.0,7.0,8,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
71,0.525,367.4914,1420.0,8.0,8,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
72,0.55833334,373.2467,1420.0,0.0,9,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
73,0.5,373.2467,1420.0,1.0,9,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
74,0.5416667,373.2467,1420.0,2.0,9,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
75,0.5083333,373.2467,1420.0,3.0,9,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
76,0.43333334,373.2467,1420.0,4.0,9,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
77,0.85833335,373.2467,1420.0,5.0,9,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
78,0.55,373.2467,1420.0,6.0,9,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
79,0.5083333,373.2467,1420.0,7.0,9,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
80,0.5083333,373.2467,1420.0,8.0,9,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
81,0.5,370.09256,1420.0,0.0,10,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
82,0.5,370.09256,1420.0,1.0,10,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
83,0.5,370.09256,1420.0,2.0,10,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
84,0.49166667,370.09256,1420.0,3.0,10,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
85,0.51666665,370.09256,1420.0,4.0,10,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
86,0.5083333,370.09256,1420.0,5.0,10,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
87,0.475,370.09256,1420.0,6.0,10,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
88,0.45,370.09256,1420.0,7.0,10,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
89,0.5,370.09256,1420.0,8.0,10,session_E,21,1,Weibo 2014,EEGNet|_Without_EA-Frozen
