,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.5,191.77658,1420.0,0.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
1,0.52,206.37994,1420.0,1.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
2,0.5,215.81725,1420.0,2.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
3,0.5,224.27405,1420.0,3.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
4,0.65,240.68428,1420.0,4.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
5,0.46,250.49318,1420.0,5.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
6,0.5,260.8197,1420.0,6.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
7,0.51,267.4695,1420.0,7.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
8,0.59,282.22012,1420.0,8.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
9,0.64,202.96124,1420.0,0.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
10,0.5,209.41632,1420.0,1.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
11,0.65,223.1148,1420.0,2.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
12,0.58,240.53812,1420.0,3.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
13,0.57,248.03468,1420.0,4.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
14,0.57,263.28662,1420.0,5.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
15,0.63,281.42642,1420.0,6.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
16,0.54,293.64136,1420.0,7.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
17,0.53,308.765,1420.0,8.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
18,0.54,182.58203,1420.0,0.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
19,0.5,189.79001,1420.0,1.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
20,0.49,196.77988,1420.0,2.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
21,0.5,204.05644,1420.0,3.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
22,0.5,210.9705,1420.0,4.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
23,0.56,217.58878,1420.0,5.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
24,0.5,225.05444,1420.0,6.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
25,0.59,232.81203,1420.0,7.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
26,0.53,240.61024,1420.0,8.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
27,0.49,197.00832,1420.0,0.0,4,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
28,0.52,203.72304,1420.0,1.0,4,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
29,0.5,212.3227,1420.0,2.0,4,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
30,0.51,220.14622,1420.0,3.0,4,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
31,0.48,227.42224,1420.0,4.0,4,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
32,0.41,233.97401,1420.0,5.0,4,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
33,0.5,240.29721,1420.0,6.0,4,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
34,0.46,252.6586,1420.0,7.0,4,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
35,0.5,263.6709,1420.0,8.0,4,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
36,0.5,226.22755,1420.0,0.0,5,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
37,0.52,239.34688,1420.0,1.0,5,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
38,0.47,250.67502,1420.0,2.0,5,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
39,0.51,266.09357,1420.0,3.0,5,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
40,0.5,279.1043,1420.0,4.0,5,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
41,0.52,292.22833,1420.0,5.0,5,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
42,0.47,309.033,1420.0,6.0,5,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
43,0.5,323.9865,1420.0,7.0,5,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
