,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.5,310.32895,1420.0,0.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
1,0.55,310.32895,1420.0,1.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
2,0.48,310.32895,1420.0,2.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
3,0.5,310.32895,1420.0,3.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
4,0.5,310.32895,1420.0,4.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
5,0.53,310.32895,1420.0,5.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
6,0.5,310.32895,1420.0,6.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
7,0.5,310.32895,1420.0,7.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
8,0.5,310.32895,1420.0,8.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
9,0.5,261.87555,1420.0,0.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
10,0.51,261.87555,1420.0,1.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
11,0.5,261.87555,1420.0,2.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
12,0.51,261.87555,1420.0,3.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
13,0.55,261.87555,1420.0,4.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
14,0.6,261.87555,1420.0,5.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
15,0.5,261.87555,1420.0,6.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
16,0.5,261.87555,1420.0,7.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
17,0.49,261.87555,1420.0,8.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
18,0.53,239.67679,1420.0,0.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
19,0.48,239.67679,1420.0,1.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
20,0.5,239.67679,1420.0,2.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
21,0.51,239.67679,1420.0,3.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
22,0.55,239.67679,1420.0,4.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
23,0.54,239.67679,1420.0,5.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
24,0.5,239.67679,1420.0,6.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
