,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.53333336,282.998,1420.0,1,both,60,1,Weibo2014,EEGNetv4_Without_EA
1,0.69166666,306.55566,1420.0,2,both,60,1,Weibo2014,EEGNetv4_Without_EA
2,0.56666666,234.15662,1420.0,3,both,60,1,Weibo2014,EEGNetv4_Without_EA
3,0.48333332,278.83392,1420.0,4,both,60,1,Weibo2014,EEGNetv4_Without_EA
4,0.53333336,277.874,1420.0,5,both,60,1,Weibo2014,EEGNetv4_Without_EA
5,0.6,259.40524,1440.0,6,both,60,1,Weibo2014,EEGNetv4_Without_EA
6,0.8666667,206.59915,1420.0,7,both,60,1,Weibo2014,EEGNetv4_Without_EA
7,0.73333335,178.06117,1420.0,8,both,60,1,Weibo2014,EEGNetv4_Without_EA
8,0.675,230.65872,1420.0,9,both,60,1,Weibo2014,EEGNetv4_Without_EA
9,0.5083333,234.53358,1420.0,10,both,60,1,Weibo2014,EEGNetv4_Without_EA
