,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.45833334,63.34407,1420.0,0.0,0.37286133,1,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
1,0.5,63.34407,1420.0,1.0,0.32594123,1,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
2,0.45833334,63.34407,1420.0,2.0,0.66622615,1,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
3,0.5833333,63.34407,1420.0,3.0,0.42322692,1,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
4,0.45833334,63.34407,1420.0,4.0,0.5555416,1,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
5,0.5,63.34407,1420.0,5.0,0.40850297,1,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
6,0.45833334,63.34407,1420.0,6.0,0.502148,1,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
7,0.5416667,63.34407,1420.0,7.0,0.41924506,1,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
8,0.45833334,63.34407,1420.0,8.0,0.40826166,1,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
9,0.5416667,135.91838,1420.0,0.0,0.46975887,2,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
10,0.5,135.91838,1420.0,1.0,0.6177875,2,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
11,0.5,135.91838,1420.0,2.0,0.4654992,2,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
12,0.41666666,135.91838,1420.0,3.0,0.61395484,2,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
13,0.625,135.91838,1420.0,4.0,0.4855045,2,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
14,0.625,135.91838,1420.0,5.0,0.5051092,2,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
15,0.5416667,135.91838,1420.0,6.0,0.54073447,2,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
16,0.625,135.91838,1420.0,7.0,0.40727663,2,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
17,0.5,135.91838,1420.0,8.0,0.5337184,2,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
18,0.5416667,59.85772,1420.0,0.0,0.36500102,3,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
19,0.5416667,59.85772,1420.0,1.0,0.46250552,3,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
20,0.5,59.85772,1420.0,2.0,0.3631962,3,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
21,0.5,59.85772,1420.0,3.0,0.43892983,3,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
22,0.5,59.85772,1420.0,4.0,0.41026002,3,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
23,0.5416667,59.85772,1420.0,5.0,0.33509254,3,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
24,0.5416667,59.85772,1420.0,6.0,0.44182628,3,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
25,0.5,59.85772,1420.0,7.0,0.4839449,3,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
26,0.5416667,59.85772,1420.0,8.0,0.39099133,3,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
27,0.45833334,67.42403,1420.0,0.0,0.30796653,4,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
28,0.375,67.42403,1420.0,1.0,0.34732217,4,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
29,0.5833333,67.42403,1420.0,2.0,0.32338488,4,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
30,0.45833334,67.42403,1420.0,3.0,0.34388852,4,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
31,0.5416667,67.42403,1420.0,4.0,0.3768651,4,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
32,0.5416667,67.42403,1420.0,5.0,0.3570476,4,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
33,0.45833334,67.42403,1420.0,6.0,0.44815114,4,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
34,0.5416667,67.42403,1420.0,7.0,0.30553743,4,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
35,0.5,67.42403,1420.0,8.0,0.32944003,4,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
36,0.625,73.9806,1420.0,0.0,0.4454302,5,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
37,0.5,73.9806,1420.0,1.0,0.4939482,5,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
38,0.5416667,73.9806,1420.0,2.0,0.35854787,5,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
39,0.5416667,73.9806,1420.0,3.0,0.44539824,5,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
40,0.5,73.9806,1420.0,4.0,0.39434984,5,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
41,0.5,73.9806,1420.0,5.0,0.44640568,5,session_E,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
