,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.5208333,208.98698,1420.0,0.0,0.46998027,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
1,0.5208333,208.98698,1420.0,1.0,0.40117753,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
2,0.20833333,208.98698,1420.0,2.0,0.4713033,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
3,0.47916666,208.98698,1420.0,3.0,0.5005189,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
4,0.5208333,208.98698,1420.0,4.0,0.46867296,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
5,0.625,208.98698,1420.0,5.0,0.49090207,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
6,0.5625,208.98698,1420.0,6.0,0.50634813,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
7,0.5625,208.98698,1420.0,7.0,0.45669273,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
8,0.5208333,208.98698,1420.0,8.0,0.5238715,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
9,0.5208333,180.64258,1420.0,0.0,0.3300497,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
10,0.47916666,180.64258,1420.0,1.0,0.2978827,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
11,0.39583334,180.64258,1420.0,2.0,0.27461234,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
12,0.47916666,180.64258,1420.0,3.0,0.33878815,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
13,0.47916666,180.64258,1420.0,4.0,0.24360935,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
14,0.625,180.64258,1420.0,5.0,0.25917047,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
15,0.5,180.64258,1420.0,6.0,0.3783324,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
16,0.6041667,180.64258,1420.0,7.0,0.2750105,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
17,0.45833334,180.64258,1420.0,8.0,0.35337812,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
18,0.5833333,195.90627,1420.0,0.0,0.21275993,3,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
